configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,15255191,0m8.269s
1,tiff,1,1,0,1,15255435,0m8.266s
10,png,1,0,1,1,15095088,0m24.929s
11,png,1,0,0,1,15095101,0m24.865s
12,png,0,1,0,0,14807380,0m31.565s
13,png,0,0,0,0,14807337,0m31.619s
14,png,0,0,0,1,14807383,0m31.603s
15,png,0,1,1,0,14807370,0m31.798s
2,tiff,1,0,1,1,15255415,0m8.265s
3,tiff,1,0,0,1,15255386,0m8.604s
4,tiff,0,1,0,0,14376865,0m8.860s
5,tiff,0,0,0,0,14377523,0m8.796s
6,tiff,0,0,0,1,14377517,0m8.780s
7,tiff,0,1,1,0,14377107,0m8.764s
8,png,1,1,1,1,15095081,0m24.847s
9,png,1,1,0,1,15095131,0m24.803s
