configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1536659,0m1.926s
1,tiff,1,1,0,1,1536665,0m1.841s
10,png,1,0,1,1,1615753,0m3.528s
11,png,1,0,0,1,1615769,0m3.513s
12,png,0,1,0,0,1843144,0m3.695s
13,png,0,0,0,0,1843132,0m3.674s
14,png,0,0,0,1,1843136,0m3.706s
15,png,0,1,1,0,1843143,0m3.668s
2,tiff,1,0,1,1,1536640,0m1.866s
3,tiff,1,0,0,1,1536652,0m1.855s
4,tiff,0,1,0,0,1795021,0m1.875s
5,tiff,0,0,0,0,1795102,0m1.852s
6,tiff,0,0,0,1,1795127,0m1.864s
7,tiff,0,1,1,0,1795102,0m1.842s
8,png,1,1,1,1,1615754,0m3.557s
9,png,1,1,0,1,1615744,0m3.545s
