configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,112,0m3.185s
1,tiff,1,1,0,1,112,0m3.142s
10,png,1,0,1,1,112,0m3.135s
11,png,1,0,0,1,112,0m3.171s
12,png,0,1,0,0,112,0m3.161s
13,png,0,0,0,0,112,0m3.139s
14,png,0,0,0,1,112,0m3.141s
15,png,0,1,1,0,112,0m3.127s
2,tiff,1,0,1,1,112,0m3.162s
3,tiff,1,0,0,1,112,0m3.182s
4,tiff,0,1,0,0,112,0m3.132s
5,tiff,0,0,0,0,112,0m3.133s
6,tiff,0,0,0,1,112,0m3.158s
7,tiff,0,1,1,0,112,0m3.154s
8,png,1,1,1,1,112,0m3.158s
9,png,1,1,0,1,112,0m3.163s
