configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,3272448,0m2.299s
1,50%,xz,-3,1,3272440,0m2.277s
10,100%,xz,-9,1,2849908,0m5.908s
11,50%,lzma,-6,16,2849620,0m5.868s
12,75%,xz,-3,32,3272448,0m2.309s
13,50%,lzma,-3,16,3271884,0m2.291s
14,50%,lzma,-6,32,2849620,0m5.843s
15,50%,xz,-6,32,2850112,0m5.834s
16,75%,lzma,-3,16,3271884,0m2.273s
17,75%,lzma,-6,32,2849620,0m5.836s
18,100%,lzma,-6,1,2849620,0m5.879s
19,75%,lzma,-3,1,3271884,0m2.273s
2,75%,xz,-9,16,2849916,0m5.926s
20,75%,lzma,-6,1,2849620,0m5.855s
21,75%,lzma,-6,16,2849620,0m5.860s
22,100%,xz,-9,32,2849916,0m5.917s
23,100%,xz,-9,16,2849916,0m5.887s
24,50%,lzma,-9,32,2849422,0m5.913s
25,50%,lzma,-3,32,3271884,0m2.291s
26,100%,xz,-3,1,3272440,0m2.314s
27,100%,lzma,-9,16,2849422,0m5.935s
28,100%,lzma,-3,1,3271884,0m2.289s
29,50%,lzma,-6,1,2849620,0m5.906s
3,100%,xz,-6,32,2850112,0m5.829s
4,50%,lzma,-3,1,3271884,0m2.259s
5,75%,xz,-3,1,3272440,0m2.273s
6,100%,lzma,-6,16,2849620,0m5.861s
7,75%,xz,-6,32,2850112,0m5.854s
8,50%,xz,-3,32,3272448,0m2.326s
9,75%,xz,-9,32,2849916,0m5.894s
