configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,2149748,0m1.266s
1,50%,xz,-3,1,2131652,0m2.538s
10,100%,xz,-9,1,1738884,0m11.918s
11,50%,lzma,-6,16,1778958,0m11.877s
12,75%,xz,-3,32,2149748,0m1.266s
13,50%,lzma,-3,16,2131278,0m2.545s
14,50%,lzma,-6,32,1778958,0m11.857s
15,50%,xz,-6,32,1797072,0m8.848s
16,75%,lzma,-3,16,2131278,0m2.542s
17,75%,lzma,-6,32,1778958,0m11.851s
18,100%,lzma,-6,1,1778958,0m11.970s
19,75%,lzma,-3,1,2131278,0m2.540s
2,75%,xz,-9,16,1738892,0m11.863s
20,75%,lzma,-6,1,1778958,0m11.871s
21,75%,lzma,-6,16,1778958,0m11.857s
22,100%,xz,-9,32,1738892,0m11.868s
23,100%,xz,-9,16,1738892,0m11.887s
24,50%,lzma,-9,32,1738572,0m11.827s
25,50%,lzma,-3,32,2131278,0m2.511s
26,100%,xz,-3,1,2131652,0m2.567s
27,100%,lzma,-9,16,1738572,0m11.846s
28,100%,lzma,-3,1,2131278,0m2.517s
29,50%,lzma,-6,1,1778958,0m11.854s
3,100%,xz,-6,32,1797072,0m8.853s
4,50%,lzma,-3,1,2131278,0m2.569s
5,75%,xz,-3,1,2131652,0m2.542s
6,100%,lzma,-6,16,1778958,0m11.943s
7,75%,xz,-6,32,1797072,0m8.823s
8,50%,xz,-3,32,2149748,0m1.271s
9,75%,xz,-9,32,1738892,0m11.820s
