configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1205575,0m1.183s
1,tiff,1,1,0,1,1205810,0m1.134s
10,png,1,0,1,1,1349755,0m2.525s
11,png,1,0,0,1,1349678,0m2.496s
12,png,0,1,0,0,3177564,0m4.972s
13,png,0,0,0,0,3177562,0m4.999s
14,png,0,0,0,1,3177531,0m5.004s
15,png,0,1,1,0,3177560,0m4.961s
2,tiff,1,0,1,1,1205626,0m1.153s
3,tiff,1,0,0,1,1205854,0m1.198s
4,tiff,0,1,0,0,3875954,0m1.315s
5,tiff,0,0,0,0,3875935,0m1.295s
6,tiff,0,0,0,1,3875935,0m1.343s
7,tiff,0,1,1,0,3875951,0m1.316s
8,png,1,1,1,1,1349675,0m2.546s
9,png,1,1,0,1,1349696,0m2.508s
