--disable-avs,--disable-swscale,--disable-lavf,--disable-ffms,--disable-gpac,--disable-lsmash,--enable-lto,--enable-debug,--enable-gprof,--enable-strip,--enable-pic,--disable-asm,--enable-shared,--enable-static,--enable-bashcompletion,--disable-cli,--disable-bashcompletion,--disable-opencl,--disable-gpl,--disable-thread,--disable-win32thread,--disable-interlaced,--system-libx264,--bit-depth=8,--bit-depth=10,--bit-depth=all,--chroma-format=400,--chroma-format=420,--chroma-format=422,--chroma-format=444,--chroma-format=all,binary-size,unit,nr-of-gadgets
false,false,false,true,true,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,false,false,false,1388408,bytes,51230
false,false,false,true,true,false,true,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,false,2760216,bytes,89207
true,false,false,false,true,true,false,false,false,false,true,false,false,false,true,false,false,true,true,false,false,false,true,true,false,false,true,false,false,false,false,3096112,bytes,106878
true,false,false,true,false,false,true,false,true,false,true,true,false,false,false,false,false,false,false,true,true,false,true,false,true,false,true,false,false,false,false,3096112,bytes,106878
true,true,true,true,true,true,false,true,false,false,true,true,false,false,true,false,false,true,true,true,false,false,true,false,false,true,false,false,false,true,false,3096112,bytes,106878
false,false,true,false,true,true,false,true,false,false,true,false,false,false,true,false,false,true,true,true,false,false,false,true,false,false,false,false,false,true,false,4661760,bytes,37639
false,false,true,false,true,true,false,true,false,true,false,true,false,false,false,false,true,true,true,true,false,true,false,false,true,false,false,false,false,true,false,650928,bytes,25463
true,false,true,false,false,true,true,false,true,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,false,true,false,false,false,2279184,bytes,71559
false,false,true,false,false,true,false,true,true,true,true,true,false,false,true,false,false,true,true,false,false,false,true,false,false,true,false,true,false,false,false,3096112,bytes,106878
false,false,true,false,true,true,false,false,true,false,true,true,false,false,false,false,true,true,true,false,false,false,false,true,false,false,false,false,false,true,false,962520,bytes,32409
true,false,false,false,false,true,true,false,true,true,false,true,false,false,true,false,false,true,false,false,true,true,false,false,false,true,false,false,true,false,false,1554424,bytes,53074
false,false,true,true,true,true,false,true,true,false,false,true,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false,false,true,false,4375264,bytes,24613
false,true,true,true,false,true,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,true,false,true,false,false,false,2288264,bytes,71793
true,false,false,false,true,false,false,true,false,false,true,true,false,false,false,false,true,true,true,false,false,true,false,false,true,false,true,false,false,false,false,4595632,bytes,43252
false,false,false,true,true,true,false,true,true,true,false,false,false,false,false,false,true,false,true,false,true,true,false,false,true,false,true,false,false,false,false,854424,bytes,31728
false,false,false,false,false,true,false,true,false,true,true,true,false,false,true,false,false,false,false,true,true,false,true,false,true,false,false,true,false,false,false,3096112,bytes,106878
false,true,true,true,false,true,true,false,false,true,true,false,false,false,false,false,false,true,false,true,false,true,false,true,false,false,false,false,false,true,false,1109696,bytes,43511
false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,true,false,false,true,true,true,true,false,false,true,false,true,false,false,false,3096112,bytes,106878
true,false,false,false,true,true,true,false,true,true,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,false,true,false,false,false,1177912,bytes,44038
true,false,true,false,true,true,true,false,true,false,false,true,false,false,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,true,1949536,bytes,66465
true,true,true,true,false,true,true,false,false,true,true,true,false,false,false,false,true,true,true,true,true,false,false,false,true,false,false,false,true,false,false,892064,bytes,34254
false,true,true,true,true,true,false,true,true,true,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,1756232,bytes,61400
false,true,true,true,false,false,false,true,true,false,true,true,false,false,false,false,true,true,false,false,false,false,false,false,false,true,false,false,false,true,false,8206576,bytes,61090
false,false,false,true,true,true,true,false,false,true,true,true,false,false,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,1687160,bytes,62185
true,true,true,true,false,true,true,false,true,false,false,true,false,false,false,false,false,true,true,true,true,true,false,false,false,true,false,true,false,false,false,1600992,bytes,51701
true,true,true,true,false,false,true,false,false,true,true,false,false,false,false,false,true,false,false,false,true,false,true,false,false,true,false,true,false,false,false,3096112,bytes,106878
false,true,true,true,false,true,true,false,true,true,true,true,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,906640,bytes,31707
false,false,false,false,true,true,false,false,false,true,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,true,false,1618320,bytes,58827
false,true,true,true,true,false,true,false,true,false,true,false,false,false,false,false,true,false,true,true,false,false,false,false,false,true,false,true,false,false,false,2917048,bytes,93199
false,true,true,true,true,true,true,false,true,false,true,false,false,false,false,false,false,false,false,true,false,true,true,false,true,false,false,false,true,false,false,3096112,bytes,106878
false,true,true,true,true,true,false,false,false,true,false,false,false,false,true,false,false,true,true,true,true,false,false,false,true,false,false,true,false,false,false,1072944,bytes,41254
true,true,true,true,true,false,false,false,true,true,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,true,false,false,false,true,false,2649112,bytes,91668
false,false,true,true,true,true,false,false,false,false,true,false,false,false,true,false,false,false,true,false,false,true,true,false,false,true,false,false,false,false,false,3096112,bytes,106878
true,false,false,false,true,true,true,false,true,false,false,false,false,false,true,false,false,false,true,false,true,true,false,false,true,false,false,false,false,false,true,1305648,bytes,44543
true,false,false,true,true,false,false,true,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,8361728,bytes,59768
true,false,true,false,true,true,false,true,true,false,true,true,false,false,false,false,true,false,true,false,false,false,false,false,false,true,false,false,true,false,false,7971024,bytes,44333
true,false,false,true,true,true,true,false,true,false,false,false,false,false,true,false,false,true,true,false,true,false,false,false,true,false,true,false,false,false,false,1186832,bytes,39714
false,false,false,false,false,true,true,false,true,false,true,true,false,false,false,false,true,false,true,false,false,true,true,true,false,false,false,false,true,false,false,3096112,bytes,106878
false,false,true,false,true,true,false,true,false,true,true,true,false,false,false,false,true,false,true,true,false,true,false,false,true,false,false,false,false,false,true,745176,bytes,30222
true,true,true,true,true,false,false,true,true,true,false,true,false,false,true,false,false,false,true,false,true,false,false,false,true,false,false,false,true,false,false,1169176,bytes,41824
false,false,false,false,true,false,true,false,true,false,true,false,false,false,false,false,true,true,false,true,true,false,true,false,true,false,false,false,false,true,false,3096112,bytes,106878
true,false,true,false,true,false,true,false,true,true,false,false,false,false,true,false,false,false,false,true,true,true,false,false,true,false,false,false,true,false,false,1583064,bytes,56091
false,false,true,false,true,true,false,true,true,true,true,false,false,false,true,false,false,false,false,false,true,false,true,true,false,false,false,true,false,false,false,3096112,bytes,106878
false,false,false,true,false,false,false,false,true,false,true,false,false,false,true,false,false,false,false,false,false,true,true,false,false,true,false,true,false,false,false,3096112,bytes,106878
