--disable-avs,--disable-swscale,--disable-lavf,--disable-ffms,--disable-gpac,--disable-lsmash,--enable-lto,--enable-debug,--enable-gprof,--enable-strip,--enable-pic,--disable-asm,--enable-shared,--enable-static,--enable-bashcompletion,--disable-cli,--disable-bashcompletion,--disable-opencl,--disable-gpl,--disable-thread,--disable-win32thread,--disable-interlaced,--system-libx264,--bit-depth=8,--bit-depth=10,--bit-depth=all,--chroma-format=400,--chroma-format=420,--chroma-format=422,--chroma-format=444,--chroma-format=all,binary-size,unit,nr-of-gadgets
false,false,false,true,true,false,true,false,true,false,true,false,false,false,false,false,true,true,true,true,true,true,true,true,false,false,false,true,false,false,false,3096112,bytes,106878
true,false,false,false,true,true,false,false,false,false,true,false,false,false,false,false,true,true,true,true,true,true,true,false,false,true,false,false,true,false,false,3096112,bytes,106878
false,false,true,false,true,false,true,false,false,false,false,true,false,false,true,false,false,false,true,false,true,true,false,false,false,false,false,false,false,false,true,2491640,bytes,87076
true,true,true,true,false,false,true,false,true,true,true,true,false,false,false,false,true,true,false,true,true,true,false,true,false,false,false,false,true,false,false,1365424,bytes,48728
true,false,false,true,false,false,true,false,false,true,true,true,false,false,true,false,false,false,false,true,false,true,true,false,false,true,false,true,false,false,false,3096112,bytes,106878
false,true,true,true,true,false,false,false,false,true,false,true,false,false,false,false,false,false,false,true,true,true,false,true,false,false,true,false,false,false,false,1408464,bytes,49625
false,false,false,true,true,false,true,false,true,true,true,false,false,false,false,false,true,true,true,false,false,true,true,false,true,false,false,false,true,false,false,3096112,bytes,106878
false,false,true,true,false,true,true,false,false,true,true,false,false,false,false,false,true,false,true,false,false,true,false,true,false,false,false,false,false,true,false,1232760,bytes,45455
true,false,true,true,true,true,true,false,false,true,true,false,false,false,false,false,false,false,true,false,true,true,true,false,false,true,true,false,false,false,false,3096112,bytes,106878
true,false,true,false,true,true,true,false,false,true,false,true,false,false,true,false,false,true,false,true,false,false,false,false,true,false,false,false,false,false,true,1011032,bytes,39635
true,true,true,true,true,false,false,false,true,true,true,true,false,false,false,false,true,true,true,false,true,false,true,false,true,false,false,false,true,false,false,3096112,bytes,106878
true,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,false,true,false,false,true,false,false,true,true,false,false,false,false,3096112,bytes,106878
false,false,false,true,false,true,true,false,true,false,true,true,false,false,false,false,true,false,false,false,false,false,true,false,true,false,false,true,false,false,false,3096112,bytes,106878
true,false,false,true,true,true,true,false,false,false,true,false,false,false,false,false,true,true,false,false,true,false,true,false,true,false,false,false,false,true,false,3096112,bytes,106878
false,false,false,true,true,true,true,false,false,true,true,true,false,false,false,false,true,true,false,false,false,false,false,false,true,false,false,false,false,false,true,1035808,bytes,40938
false,false,true,false,false,true,false,false,true,true,false,false,false,false,false,false,false,false,true,true,true,false,false,false,true,false,true,false,false,false,false,1075448,bytes,38856
false,false,false,false,true,true,true,false,false,false,false,true,false,false,true,false,false,false,true,false,false,true,false,false,false,true,false,true,false,false,false,1716376,bytes,58808
true,false,true,false,true,true,true,false,false,false,true,true,false,false,false,false,true,false,true,true,true,false,false,true,false,false,false,false,true,false,false,1057976,bytes,36799
false,false,true,false,false,true,true,false,true,true,true,false,false,false,false,false,true,true,true,true,true,true,true,false,true,false,false,false,true,false,false,3096112,bytes,106878
true,false,true,true,true,true,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,false,false,true,false,false,false,1067096,bytes,38074
false,false,false,true,false,true,true,false,true,true,false,true,false,false,false,false,false,false,true,false,true,true,false,false,false,true,false,true,false,false,false,1652632,bytes,54609
false,false,false,true,true,false,true,false,true,false,true,true,false,false,false,false,true,false,true,true,true,true,false,false,false,true,false,false,false,false,false,2529520,bytes,82207
true,true,true,true,true,false,true,false,true,true,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,true,false,false,false,2681448,bytes,93280
false,false,false,false,true,false,false,false,true,true,true,true,false,false,false,false,true,true,true,false,false,false,true,true,false,false,false,false,false,true,false,3096112,bytes,106878
true,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,false,1721456,bytes,58215
false,false,false,true,true,true,false,false,false,true,true,true,false,false,true,false,false,false,false,true,true,true,true,false,true,false,false,false,false,true,false,3096112,bytes,106878
false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,true,false,false,true,false,false,false,false,false,true,1286312,bytes,43634
true,true,true,true,true,false,true,false,true,true,true,true,false,false,true,false,false,false,false,true,true,false,true,false,true,false,false,false,false,false,true,3096112,bytes,106878
true,false,false,true,false,false,true,false,true,true,false,true,false,false,false,false,false,false,true,true,true,true,false,false,false,true,false,false,true,false,false,2139992,bytes,72182
true,false,true,false,false,true,true,false,true,true,true,true,false,false,false,false,true,false,false,true,true,false,true,true,false,false,true,false,false,false,false,3096112,bytes,106878
false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,true,false,false,false,false,false,false,true,1371360,bytes,50626
false,false,true,true,false,false,false,false,false,false,true,true,false,false,false,false,true,false,false,false,true,false,true,true,false,false,false,true,false,false,false,3096112,bytes,106878
false,false,false,true,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,true,true,true,false,false,true,false,true,false,false,false,false,1441872,bytes,48950
