,--disable-avs,--disable-swscale,--disable-lavf,--disable-ffms,--disable-gpac,--disable-lsmash,--enable-lto,--enable-debug,--enable-gprof,--enable-strip,--enable-pic,--disable-asm,--enable-shared,--enable-static,--enable-bashcompletion,--disable-cli,--disable-bashcompletion,--disable-opencl,--disable-gpl,--disable-thread,--disable-win32thread,--disable-interlaced,--system-libx264,--bit-depth=8,--bit-depth=10,--bit-depth=all,--chroma-format=400,--chroma-format=420,--chroma-format=422,--chroma-format=444,--chroma-format=all,binary-size,unit,nr-of-gadgets
39,False,True,True,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,True,3096112,bytes,106878
40,False,False,False,True,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,1388408,bytes,51230
41,False,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,2760216,bytes,89207
42,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,3096112,bytes,106878
43,True,False,False,True,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False,3096112,bytes,106878
44,True,True,True,True,True,True,False,True,False,False,True,True,False,False,True,False,False,True,True,True,False,False,True,False,False,True,False,False,False,True,False,3096112,bytes,106878
45,False,False,True,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,True,False,4661760,bytes,37639
46,False,False,True,False,True,True,False,True,False,True,False,True,False,False,False,False,True,True,True,True,False,True,False,False,True,False,False,False,False,True,False,650928,bytes,25463
47,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,False,True,False,True,False,False,False,2279184,bytes,71559
48,False,False,True,False,False,True,False,True,True,True,True,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,3096112,bytes,106878
49,False,False,True,False,True,True,False,False,True,False,True,True,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,962520,bytes,32409
50,True,False,False,False,False,True,True,False,True,True,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,1554424,bytes,53074
51,False,False,True,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,4375264,bytes,24613
52,False,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,2288264,bytes,71793
53,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,True,True,False,False,True,False,False,True,False,True,False,False,False,False,4595632,bytes,43252
54,False,False,False,True,True,True,False,True,True,True,False,False,False,False,False,False,True,False,True,False,True,True,False,False,True,False,True,False,False,False,False,854424,bytes,31728
55,False,False,False,False,False,True,False,True,False,True,True,True,False,False,True,False,False,False,False,True,True,False,True,False,True,False,False,True,False,False,False,3096112,bytes,106878
56,False,True,True,True,False,True,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,1109696,bytes,43511
57,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,True,True,False,False,True,False,True,False,False,False,3096112,bytes,106878
58,True,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,1177912,bytes,44038
59,True,False,True,False,True,True,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,1949536,bytes,66465
60,True,True,True,True,False,True,True,False,False,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,True,False,False,False,True,False,False,892064,bytes,34254
61,False,True,True,True,True,True,False,True,True,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,1756232,bytes,61400
62,False,True,True,True,False,False,False,True,True,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,8206576,bytes,61090
63,False,False,False,True,True,True,True,False,False,True,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,1687160,bytes,62185
64,True,True,True,True,False,True,True,False,True,False,False,True,False,False,False,False,False,True,True,True,True,True,False,False,False,True,False,True,False,False,False,1600992,bytes,51701
65,True,True,True,True,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,3096112,bytes,106878
66,False,True,True,True,False,True,True,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,906640,bytes,31707
67,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1618320,bytes,58827
68,False,True,True,True,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,2917048,bytes,93199
69,False,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,True,False,False,3096112,bytes,106878
70,False,True,True,True,True,True,False,False,False,True,False,False,False,False,True,False,False,True,True,True,True,False,False,False,True,False,False,True,False,False,False,1072944,bytes,41254
71,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,2649112,bytes,91668
72,False,False,True,True,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,3096112,bytes,106878
73,True,False,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,1305648,bytes,44543
74,True,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,8361728,bytes,59768
75,True,False,True,False,True,True,False,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,7971024,bytes,44333
76,True,False,False,True,True,True,True,False,True,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,1186832,bytes,39714
77,False,False,False,False,False,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,True,True,False,False,False,False,True,False,False,3096112,bytes,106878
78,False,False,True,False,True,True,False,True,False,True,True,True,False,False,False,False,True,False,True,True,False,True,False,False,True,False,False,False,False,False,True,745176,bytes,30222
79,True,True,True,True,True,False,False,True,True,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,1169176,bytes,41824
80,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,True,True,False,True,False,True,False,False,False,False,True,False,3096112,bytes,106878
81,True,False,True,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,True,True,True,False,False,True,False,False,False,True,False,False,1583064,bytes,56091
82,False,False,True,False,True,True,False,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,3096112,bytes,106878
83,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,3096112,bytes,106878
84,False,False,False,False,True,False,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,1177832,bytes,42108
85,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,True,False,True,True,False,True,False,False,True,False,True,False,False,False,3096112,bytes,106878
86,False,False,True,False,False,True,False,False,True,True,True,False,False,False,True,False,False,True,True,True,True,False,True,False,False,True,False,False,False,True,False,3096112,bytes,106878
87,True,False,True,False,True,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,1814064,bytes,68390
88,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,1263432,bytes,45012
89,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,True,3096112,bytes,106878
90,False,False,True,False,True,True,False,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,False,True,False,False,False,True,False,False,3096112,bytes,106878
91,True,False,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,8115080,bytes,62061
92,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,1776944,bytes,59125
