configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1612702,0m1.328s
1,tiff,1,1,0,1,1612649,0m1.337s
10,png,1,0,1,1,1577730,0m3.071s
11,png,1,0,0,1,1577734,0m3.136s
12,png,0,1,0,0,2357335,0m5.036s
13,png,0,0,0,0,2357342,0m5.079s
14,png,0,0,0,1,2341688,0m4.911s
15,png,0,1,1,0,2357336,0m5.049s
2,tiff,1,0,1,1,1612680,0m1.405s
3,tiff,1,0,0,1,1612676,0m1.332s
4,tiff,0,1,0,0,2761983,0m1.413s
5,tiff,0,0,0,0,2762567,0m1.416s
6,tiff,0,0,0,1,2744940,0m1.375s
7,tiff,0,1,1,0,2762573,0m1.426s
8,png,1,1,1,1,1577751,0m3.103s
9,png,1,1,0,1,1577760,0m3.068s
