configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,15255181,0m8.304s
1,tiff,1,1,0,1,15255208,0m8.317s
10,png,1,0,1,1,15095093,0m24.878s
11,png,1,0,0,1,15095104,0m24.861s
12,png,0,1,0,0,14807451,0m31.679s
13,png,0,0,0,0,14807406,0m31.539s
14,png,0,0,0,1,14807435,0m31.518s
15,png,0,1,1,0,14807363,0m31.662s
2,tiff,1,0,1,1,15255116,0m8.263s
3,tiff,1,0,0,1,15255221,0m8.313s
4,tiff,0,1,0,0,14377468,0m8.823s
5,tiff,0,0,0,0,14377688,0m8.811s
6,tiff,0,0,0,1,14376917,0m8.795s
7,tiff,0,1,1,0,14377505,0m8.819s
8,png,1,1,1,1,15095078,0m24.834s
9,png,1,1,0,1,15095110,0m24.892s
