configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,2213096,0m4.166s
1,tiff,1,1,0,1,2214742,0m4.200s
10,png,1,0,1,1,1753336,0m8.230s
11,png,1,0,0,1,1753461,0m8.189s
12,png,0,1,0,0,1894346,0m8.294s
13,png,0,0,0,0,1894565,0m8.316s
14,png,0,0,0,1,1894328,0m8.222s
15,png,0,1,1,0,1894571,0m8.246s
2,tiff,1,0,1,1,2213194,0m4.186s
3,tiff,1,0,0,1,2214454,0m4.172s
4,tiff,0,1,0,0,2401521,0m4.224s
5,tiff,0,0,0,0,2400427,0m4.198s
6,tiff,0,0,0,1,2400877,0m4.163s
7,tiff,0,1,1,0,2400997,0m4.198s
8,png,1,1,1,1,1753173,0m8.188s
9,png,1,1,0,1,1753322,0m8.215s
