configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,112,0m3.205s
1,tiff,1,1,0,1,112,0m3.158s
10,png,1,0,1,1,112,0m3.137s
11,png,1,0,0,1,112,0m3.148s
12,png,0,1,0,0,112,0m3.151s
13,png,0,0,0,0,112,0m3.150s
14,png,0,0,0,1,112,0m3.157s
15,png,0,1,1,0,112,0m3.163s
2,tiff,1,0,1,1,112,0m3.152s
3,tiff,1,0,0,1,112,0m3.138s
4,tiff,0,1,0,0,112,0m3.169s
5,tiff,0,0,0,0,112,0m3.139s
6,tiff,0,0,0,1,112,0m3.136s
7,tiff,0,1,1,0,112,0m3.158s
8,png,1,1,1,1,112,0m3.141s
9,png,1,1,0,1,112,0m3.156s
