configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1205841,0m1.136s
1,tiff,1,1,0,1,1205823,0m1.157s
10,png,1,0,1,1,1349989,0m2.526s
11,png,1,0,0,1,1349695,0m2.530s
12,png,0,1,0,0,3177553,0m5.010s
13,png,0,0,0,0,3177556,0m5.013s
14,png,0,0,0,1,3177553,0m4.998s
15,png,0,1,1,0,3177699,0m4.975s
2,tiff,1,0,1,1,1205826,0m1.257s
3,tiff,1,0,0,1,1205585,0m1.135s
4,tiff,0,1,0,0,3876296,0m1.306s
5,tiff,0,0,0,0,3876299,0m1.363s
6,tiff,0,0,0,1,3876310,0m1.300s
7,tiff,0,1,1,0,3876333,0m1.301s
8,png,1,1,1,1,1349668,0m2.520s
9,png,1,1,0,1,1349667,0m2.559s
