configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,3273958,0m5.435s
1,tiff,1,1,0,1,3273964,0m5.498s
10,png,1,0,1,1,3254951,0m8.819s
11,png,1,0,0,1,3254945,0m8.829s
12,png,0,1,0,0,8502347,0m25.937s
13,png,0,0,0,0,8502340,0m26.059s
14,png,0,0,0,1,8502355,0m26.153s
15,png,0,1,1,0,8502349,0m26.165s
2,tiff,1,0,1,1,3274001,0m5.453s
3,tiff,1,0,0,1,3273987,0m5.491s
4,tiff,0,1,0,0,10068844,0m6.132s
5,tiff,0,0,0,0,10068884,0m6.120s
6,tiff,0,0,0,1,10068820,0m6.084s
7,tiff,0,1,1,0,10068911,0m6.150s
8,png,1,1,1,1,3254926,0m8.906s
9,png,1,1,0,1,3254932,0m8.820s
