configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,739164,0m1.712s
1,tiff,1,1,0,1,739163,0m1.680s
10,png,1,0,1,1,739161,0m1.719s
11,png,1,0,0,1,739165,0m1.717s
12,png,0,1,0,0,3168071,0m5.368s
13,png,0,0,0,0,3168069,0m5.386s
14,png,0,0,0,1,3168073,0m5.370s
15,png,0,1,1,0,3168071,0m5.381s
2,tiff,1,0,1,1,739164,0m1.708s
3,tiff,1,0,0,1,739164,0m1.687s
4,tiff,0,1,0,0,4807626,0m1.840s
5,tiff,0,0,0,0,4807713,0m1.802s
6,tiff,0,0,0,1,4807624,0m1.805s
7,tiff,0,1,1,0,4807725,0m1.804s
8,png,1,1,1,1,739164,0m1.686s
9,png,1,1,0,1,739165,0m1.705s
