configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,2214683,0m4.141s
1,tiff,1,1,0,1,2214616,0m4.156s
10,png,1,0,1,1,1753409,0m8.296s
11,png,1,0,0,1,1753253,0m8.256s
12,png,0,1,0,0,1894322,0m8.240s
13,png,0,0,0,0,1894340,0m8.239s
14,png,0,0,0,1,1894330,0m8.299s
15,png,0,1,1,0,1894371,0m8.239s
2,tiff,1,0,1,1,2213118,0m4.220s
3,tiff,1,0,0,1,2214670,0m4.140s
4,tiff,0,1,0,0,2400963,0m4.210s
5,tiff,0,0,0,0,2400042,0m4.232s
6,tiff,0,0,0,1,2401006,0m4.239s
7,tiff,0,1,1,0,2400993,0m4.220s
8,png,1,1,1,1,1753308,0m8.182s
9,png,1,1,0,1,1753324,0m8.188s
