configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,175432,0m0.198s
1,tiff,1,1,0,1,175492,0m0.197s
10,png,1,0,1,1,169391,0m0.172s
11,png,1,0,0,1,169391,0m0.169s
12,png,0,1,0,0,1185033,0m2.924s
13,png,0,0,0,0,1185028,0m2.873s
14,png,0,0,0,1,1184904,0m2.926s
15,png,0,1,1,0,1185042,0m2.866s
2,tiff,1,0,1,1,175429,0m0.172s
3,tiff,1,0,0,1,175507,0m0.197s
4,tiff,0,1,0,0,1698411,0m0.379s
5,tiff,0,0,0,0,1698458,0m0.382s
6,tiff,0,0,0,1,1696575,0m0.358s
7,tiff,0,1,1,0,1698320,0m0.344s
8,png,1,1,1,1,169394,0m0.198s
9,png,1,1,0,1,169394,0m0.174s
