configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1536637,0m1.837s
1,tiff,1,1,0,1,1536666,0m1.883s
10,png,1,0,1,1,1615753,0m3.527s
11,png,1,0,0,1,1615771,0m3.542s
12,png,0,1,0,0,1843148,0m3.715s
13,png,0,0,0,0,1843147,0m3.647s
14,png,0,0,0,1,1843149,0m3.721s
15,png,0,1,1,0,1843146,0m3.689s
2,tiff,1,0,1,1,1536642,0m1.840s
3,tiff,1,0,0,1,1536661,0m1.875s
4,tiff,0,1,0,0,1795128,0m1.867s
5,tiff,0,0,0,0,1795138,0m1.883s
6,tiff,0,0,0,1,1795102,0m1.867s
7,tiff,0,1,1,0,1795145,0m1.847s
8,png,1,1,1,1,1615762,0m3.502s
9,png,1,1,0,1,1615749,0m3.530s
