configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,739163,0m1.709s
1,tiff,1,1,0,1,739164,0m1.708s
10,png,1,0,1,1,739163,0m1.740s
11,png,1,0,0,1,739164,0m1.700s
12,png,0,1,0,0,3168071,0m5.372s
13,png,0,0,0,0,3168071,0m5.367s
14,png,0,0,0,1,3168073,0m5.428s
15,png,0,1,1,0,3168071,0m5.407s
2,tiff,1,0,1,1,739163,0m1.735s
3,tiff,1,0,0,1,739163,0m1.680s
4,tiff,0,1,0,0,4807702,0m1.795s
5,tiff,0,0,0,0,4807708,0m1.826s
6,tiff,0,0,0,1,4807718,0m1.796s
7,tiff,0,1,1,0,4807716,0m1.836s
8,png,1,1,1,1,739163,0m1.688s
9,png,1,1,0,1,739164,0m1.704s
