configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,2149748,0m1.283s
1,50%,xz,-3,1,2131652,0m2.608s
10,100%,xz,-9,1,1738884,0m11.927s
11,50%,lzma,-6,16,1778958,0m11.439s
12,75%,xz,-3,32,2149748,0m1.298s
13,50%,lzma,-3,16,2131278,0m2.746s
14,50%,lzma,-6,32,1778958,0m11.442s
15,50%,xz,-6,32,1797072,0m8.676s
16,75%,lzma,-3,16,2131278,0m2.596s
17,75%,lzma,-6,32,1778958,0m11.476s
18,100%,lzma,-6,1,1778958,0m11.461s
19,75%,lzma,-3,1,2131278,0m2.545s
2,75%,xz,-9,16,1738892,0m11.875s
20,75%,lzma,-6,1,1778958,0m11.418s
21,75%,lzma,-6,16,1778958,0m11.477s
22,100%,xz,-9,32,1738892,0m11.862s
23,100%,xz,-9,16,1738892,0m11.885s
24,50%,lzma,-9,32,1738572,0m11.741s
25,50%,lzma,-3,32,2131278,0m2.546s
26,100%,xz,-3,1,2131652,0m2.608s
27,100%,lzma,-9,16,1738572,0m11.777s
28,100%,lzma,-3,1,2131278,0m2.543s
29,50%,lzma,-6,1,1778958,0m11.441s
3,100%,xz,-6,32,1797072,0m8.648s
4,50%,lzma,-3,1,2131278,0m2.549s
5,75%,xz,-3,1,2131652,0m2.611s
6,100%,lzma,-6,16,1778958,0m11.428s
7,75%,xz,-6,32,1797072,0m8.606s
8,50%,xz,-3,32,2149748,0m1.293s
9,75%,xz,-9,32,1738892,0m11.881s
