configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,15255387,0m8.345s
1,tiff,1,1,0,1,15255419,0m8.345s
10,png,1,0,1,1,15095147,0m24.863s
11,png,1,0,0,1,15095085,0m24.853s
12,png,0,1,0,0,14807425,0m31.618s
13,png,0,0,0,0,14807372,0m31.714s
14,png,0,0,0,1,14807392,0m31.673s
15,png,0,1,1,0,14807357,0m31.620s
2,tiff,1,0,1,1,15255331,0m8.322s
3,tiff,1,0,0,1,15255380,0m8.247s
4,tiff,0,1,0,0,14377457,0m8.773s
5,tiff,0,0,0,0,14377510,0m8.825s
6,tiff,0,0,0,1,14376705,0m8.821s
7,tiff,0,1,1,0,14377422,0m8.775s
8,png,1,1,1,1,15095096,0m24.955s
9,png,1,1,0,1,15095085,0m24.940s
