configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,2214649,0m4.216s
1,tiff,1,1,0,1,2213326,0m4.217s
10,png,1,0,1,1,1753336,0m8.398s
11,png,1,0,0,1,1753294,0m8.265s
12,png,0,1,0,0,1894346,0m8.288s
13,png,0,0,0,0,1894323,0m8.426s
14,png,0,0,0,1,1894393,0m8.302s
15,png,0,1,1,0,1894275,0m8.337s
2,tiff,1,0,1,1,2213207,0m4.190s
3,tiff,1,0,0,1,2214717,0m4.185s
4,tiff,0,1,0,0,2400400,0m4.200s
5,tiff,0,0,0,0,2401268,0m4.254s
6,tiff,0,0,0,1,2401046,0m4.263s
7,tiff,0,1,1,0,2400754,0m4.281s
8,png,1,1,1,1,1753442,0m8.254s
9,png,1,1,0,1,1753261,0m8.263s
