configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1205587,0m1.171s
1,tiff,1,1,0,1,1205714,0m1.142s
10,png,1,0,1,1,1349694,0m2.514s
11,png,1,0,0,1,1349669,0m2.578s
12,png,0,1,0,0,3177553,0m4.983s
13,png,0,0,0,0,3177716,0m5.032s
14,png,0,0,0,1,3177557,0m5.020s
15,png,0,1,1,0,3177549,0m5.040s
2,tiff,1,0,1,1,1205819,0m1.142s
3,tiff,1,0,0,1,1205584,0m1.193s
4,tiff,0,1,0,0,3876313,0m1.363s
5,tiff,0,0,0,0,3876262,0m1.312s
6,tiff,0,0,0,1,3876297,0m1.358s
7,tiff,0,1,1,0,3875917,0m1.371s
8,png,1,1,1,1,1349716,0m2.606s
9,png,1,1,0,1,1349683,0m2.537s
