configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,14777004,0m9.763s
1,50%,xz,-3,1,14777004,0m9.758s
10,100%,xz,-9,1,13374160,0m27.242s
11,50%,lzma,-6,16,13497551,0m23.890s
12,75%,xz,-3,32,14777004,0m9.831s
13,50%,lzma,-3,16,14775082,0m9.727s
14,50%,lzma,-6,32,13497551,0m23.952s
15,50%,xz,-6,32,13503600,0m24.016s
16,75%,lzma,-3,16,14775082,0m9.705s
17,75%,lzma,-6,32,13497551,0m23.880s
18,100%,lzma,-6,1,13497551,0m23.841s
19,75%,lzma,-3,1,14775082,0m9.623s
2,75%,xz,-9,16,13374160,0m27.128s
20,75%,lzma,-6,1,13497551,0m23.802s
21,75%,lzma,-6,16,13497551,0m23.933s
22,100%,xz,-9,32,13374160,0m27.069s
23,100%,xz,-9,16,13374160,0m27.320s
24,50%,lzma,-9,32,13365111,0m27.111s
25,50%,lzma,-3,32,14775082,0m9.694s
26,100%,xz,-3,1,14777004,0m9.786s
27,100%,lzma,-9,16,13365111,0m27.076s
28,100%,lzma,-3,1,14775082,0m9.709s
29,50%,lzma,-6,1,13497551,0m23.892s
3,100%,xz,-6,32,13503600,0m23.953s
4,50%,lzma,-3,1,14775082,0m9.683s
5,75%,xz,-3,1,14777004,0m9.786s
6,100%,lzma,-6,16,13497551,0m23.926s
7,75%,xz,-6,32,13503600,0m23.995s
8,50%,xz,-3,32,14777004,0m9.797s
9,75%,xz,-9,32,13374160,0m27.157s
