configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,515648,0m0.460s
1,50%,xz,-3,1,515648,0m0.469s
10,100%,xz,-9,1,453260,0m1.461s
11,50%,lzma,-6,16,453144,0m1.421s
12,75%,xz,-3,32,515648,0m0.474s
13,50%,lzma,-3,16,515524,0m0.454s
14,50%,lzma,-6,32,453144,0m1.421s
15,50%,xz,-6,32,453260,0m1.415s
16,75%,lzma,-3,16,515524,0m0.458s
17,75%,lzma,-6,32,453144,0m1.397s
18,100%,lzma,-6,1,453144,0m1.431s
19,75%,lzma,-3,1,515524,0m0.429s
2,75%,xz,-9,16,453260,0m1.457s
20,75%,lzma,-6,1,453144,0m1.397s
21,75%,lzma,-6,16,453144,0m1.391s
22,100%,xz,-9,32,453260,0m1.466s
23,100%,xz,-9,16,453260,0m1.493s
24,50%,lzma,-9,32,453144,0m1.440s
25,50%,lzma,-3,32,515524,0m0.454s
26,100%,xz,-3,1,515648,0m0.443s
27,100%,lzma,-9,16,453144,0m1.450s
28,100%,lzma,-3,1,515524,0m0.428s
29,50%,lzma,-6,1,453144,0m1.392s
3,100%,xz,-6,32,453260,0m1.416s
4,50%,lzma,-3,1,515524,0m0.459s
5,75%,xz,-3,1,515648,0m0.447s
6,100%,lzma,-6,16,453144,0m1.416s
7,75%,xz,-6,32,453260,0m1.414s
8,50%,xz,-3,32,515648,0m0.476s
9,75%,xz,-9,32,453260,0m1.462s
