configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,10432656,0m5.343s
1,50%,xz,-3,1,10362252,0m12.442s
10,100%,xz,-9,1,8385868,0m34.042s
11,50%,lzma,-6,16,8627467,0m28.996s
12,75%,xz,-3,32,10432656,0m5.195s
13,50%,lzma,-3,16,10360607,0m12.320s
14,50%,lzma,-6,32,8627467,0m29.119s
15,50%,xz,-6,32,8712308,0m18.334s
16,75%,lzma,-3,16,10360607,0m12.440s
17,75%,lzma,-6,32,8627467,0m29.083s
18,100%,lzma,-6,1,8627467,0m29.269s
19,75%,lzma,-3,1,10360607,0m12.592s
2,75%,xz,-9,16,8385876,0m34.117s
20,75%,lzma,-6,1,8627467,0m29.324s
21,75%,lzma,-6,16,8627467,0m29.163s
22,100%,xz,-9,32,8385876,0m34.002s
23,100%,xz,-9,16,8385876,0m33.842s
24,50%,lzma,-9,32,8384529,0m33.838s
25,50%,lzma,-3,32,10360607,0m12.354s
26,100%,xz,-3,1,10362252,0m12.293s
27,100%,lzma,-9,16,8384529,0m33.606s
28,100%,lzma,-3,1,10360607,0m12.398s
29,50%,lzma,-6,1,8627467,0m29.111s
3,100%,xz,-6,32,8712308,0m18.404s
4,50%,lzma,-3,1,10360607,0m12.398s
5,75%,xz,-3,1,10362252,0m12.430s
6,100%,lzma,-6,16,8627467,0m29.181s
7,75%,xz,-6,32,8712308,0m18.502s
8,50%,xz,-3,32,10432656,0m5.265s
9,75%,xz,-9,32,8385876,0m34.130s
