configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1612686,0m1.304s
1,tiff,1,1,0,1,1612686,0m1.299s
10,png,1,0,1,1,1577745,0m3.095s
11,png,1,0,0,1,1577746,0m3.098s
12,png,0,1,0,0,2357339,0m5.084s
13,png,0,0,0,0,2357334,0m5.056s
14,png,0,0,0,1,2341671,0m4.882s
15,png,0,1,1,0,2357333,0m5.054s
2,tiff,1,0,1,1,1612686,0m1.304s
3,tiff,1,0,0,1,1612678,0m1.308s
4,tiff,0,1,0,0,2762504,0m1.426s
5,tiff,0,0,0,0,2761985,0m1.426s
6,tiff,0,0,0,1,2745022,0m1.375s
7,tiff,0,1,1,0,2761815,0m1.386s
8,png,1,1,1,1,1577768,0m3.136s
9,png,1,1,0,1,1577754,0m3.102s
