configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1536656,0m1.903s
1,tiff,1,1,0,1,1536629,0m1.856s
10,png,1,0,1,1,1615771,0m3.522s
11,png,1,0,0,1,1615744,0m3.517s
12,png,0,1,0,0,1843148,0m3.674s
13,png,0,0,0,0,1843145,0m3.702s
14,png,0,0,0,1,1843158,0m3.673s
15,png,0,1,1,0,1843147,0m3.730s
2,tiff,1,0,1,1,1536666,0m1.834s
3,tiff,1,0,0,1,1536673,0m1.864s
4,tiff,0,1,0,0,1795112,0m1.843s
5,tiff,0,0,0,0,1795015,0m1.861s
6,tiff,0,0,0,1,1795116,0m1.965s
7,tiff,0,1,1,0,1795017,0m1.868s
8,png,1,1,1,1,1615753,0m3.583s
9,png,1,1,0,1,1615775,0m3.525s
