configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,111,0m3.130s
1,tiff,1,1,0,1,111,0m3.163s
10,png,1,0,1,1,111,0m3.140s
11,png,1,0,0,1,111,0m3.156s
12,png,0,1,0,0,111,0m3.127s
13,png,0,0,0,0,111,0m3.155s
14,png,0,0,0,1,111,0m3.146s
15,png,0,1,1,0,111,0m3.145s
2,tiff,1,0,1,1,111,0m3.131s
3,tiff,1,0,0,1,111,0m3.166s
4,tiff,0,1,0,0,111,0m3.165s
5,tiff,0,0,0,0,111,0m3.138s
6,tiff,0,0,0,1,111,0m3.166s
7,tiff,0,1,1,0,111,0m3.138s
8,png,1,1,1,1,111,0m3.135s
9,png,1,1,0,1,111,0m3.160s
