configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,6362646,0m6.061s
1,tiff,1,1,0,1,6362638,0m6.079s
10,png,1,0,1,1,6662439,0m12.298s
11,png,1,0,0,1,6662533,0m12.274s
12,png,0,1,0,0,10651900,0m32.016s
13,png,0,0,0,0,10651868,0m31.863s
14,png,0,0,0,1,10651947,0m31.854s
15,png,0,1,1,0,10651928,0m31.709s
2,tiff,1,0,1,1,6362660,0m6.136s
3,tiff,1,0,0,1,6362711,0m6.067s
4,tiff,0,1,0,0,11409304,0m9.369s
5,tiff,0,0,0,0,11409347,0m9.288s
6,tiff,0,0,0,1,11409221,0m9.255s
7,tiff,0,1,1,0,11409257,0m9.252s
8,png,1,1,1,1,6662472,0m12.263s
9,png,1,1,0,1,6662515,0m12.338s
