configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,4914804,0m3.510s
1,50%,xz,-3,1,4914796,0m3.495s
10,100%,xz,-9,1,4489868,0m4.249s
11,50%,lzma,-6,16,4489170,0m4.230s
12,75%,xz,-3,32,4914804,0m3.484s
13,50%,lzma,-3,16,4913990,0m3.493s
14,50%,lzma,-6,32,4489170,0m4.279s
15,50%,xz,-6,32,4489920,0m4.261s
16,75%,lzma,-3,16,4913990,0m3.515s
17,75%,lzma,-6,32,4489170,0m4.211s
18,100%,lzma,-6,1,4489170,0m4.218s
19,75%,lzma,-3,1,4913990,0m3.474s
2,75%,xz,-9,16,4489876,0m4.281s
20,75%,lzma,-6,1,4489170,0m4.207s
21,75%,lzma,-6,16,4489170,0m4.253s
22,100%,xz,-9,32,4489876,0m4.259s
23,100%,xz,-9,16,4489876,0m4.234s
24,50%,lzma,-9,32,4489124,0m4.188s
25,50%,lzma,-3,32,4913990,0m3.485s
26,100%,xz,-3,1,4914796,0m3.493s
27,100%,lzma,-9,16,4489124,0m4.273s
28,100%,lzma,-3,1,4913990,0m3.449s
29,50%,lzma,-6,1,4489170,0m4.251s
3,100%,xz,-6,32,4489920,0m4.275s
4,50%,lzma,-3,1,4913990,0m3.422s
5,75%,xz,-3,1,4914796,0m3.462s
6,100%,lzma,-6,16,4489170,0m4.230s
7,75%,xz,-6,32,4489920,0m4.309s
8,50%,xz,-3,32,4914804,0m3.481s
9,75%,xz,-9,32,4489876,0m4.252s
