configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,14777004,0m10.032s
1,50%,xz,-3,1,14777004,0m10.014s
10,100%,xz,-9,1,13374160,0m28.586s
11,50%,lzma,-6,16,13497551,0m25.428s
12,75%,xz,-3,32,14777004,0m10.047s
13,50%,lzma,-3,16,14775082,0m9.939s
14,50%,lzma,-6,32,13497551,0m25.374s
15,50%,xz,-6,32,13503600,0m25.466s
16,75%,lzma,-3,16,14775082,0m9.971s
17,75%,lzma,-6,32,13497551,0m25.346s
18,100%,lzma,-6,1,13497551,0m25.387s
19,75%,lzma,-3,1,14775082,0m9.927s
2,75%,xz,-9,16,13374160,0m28.507s
20,75%,lzma,-6,1,13497551,0m25.375s
21,75%,lzma,-6,16,13497551,0m25.855s
22,100%,xz,-9,32,13374160,0m28.783s
23,100%,xz,-9,16,13374160,0m28.518s
24,50%,lzma,-9,32,13365111,0m28.522s
25,50%,lzma,-3,32,14775082,0m9.893s
26,100%,xz,-3,1,14777004,0m10.056s
27,100%,lzma,-9,16,13365111,0m28.402s
28,100%,lzma,-3,1,14775082,0m9.976s
29,50%,lzma,-6,1,13497551,0m25.327s
3,100%,xz,-6,32,13503600,0m25.590s
4,50%,lzma,-3,1,14775082,0m9.964s
5,75%,xz,-3,1,14777004,0m10.057s
6,100%,lzma,-6,16,13497551,0m25.363s
7,75%,xz,-6,32,13503600,0m25.674s
8,50%,xz,-3,32,14777004,0m10.080s
9,75%,xz,-9,32,13374160,0m28.578s
