configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,111,0m3.160s
1,tiff,1,1,0,1,111,0m3.195s
10,png,1,0,1,1,111,0m3.171s
11,png,1,0,0,1,111,0m3.178s
12,png,0,1,0,0,111,0m3.188s
13,png,0,0,0,0,111,0m3.181s
14,png,0,0,0,1,111,0m3.159s
15,png,0,1,1,0,111,0m3.187s
2,tiff,1,0,1,1,111,0m3.165s
3,tiff,1,0,0,1,111,0m3.147s
4,tiff,0,1,0,0,111,0m3.178s
5,tiff,0,0,0,0,111,0m3.190s
6,tiff,0,0,0,1,111,0m3.181s
7,tiff,0,1,1,0,111,0m3.182s
8,png,1,1,1,1,111,0m3.149s
9,png,1,1,0,1,111,0m3.144s
