configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,6362714,0m6.070s
1,tiff,1,1,0,1,6362686,0m6.169s
10,png,1,0,1,1,6662754,0m12.321s
11,png,1,0,0,1,6662505,0m12.318s
12,png,0,1,0,0,10651916,0m31.713s
13,png,0,0,0,0,10651891,0m31.769s
14,png,0,0,0,1,10651947,0m31.710s
15,png,0,1,1,0,10651894,0m31.813s
2,tiff,1,0,1,1,6362668,0m6.106s
3,tiff,1,0,0,1,6362660,0m6.136s
4,tiff,0,1,0,0,11409760,0m9.344s
5,tiff,0,0,0,0,11409244,0m9.248s
6,tiff,0,0,0,1,11409282,0m9.362s
7,tiff,0,1,1,0,11409251,0m9.272s
8,png,1,1,1,1,6662743,0m12.395s
9,png,1,1,0,1,6662460,0m12.346s
