configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,2149748,0m1.299s
1,50%,xz,-3,1,2131652,0m2.609s
10,100%,xz,-9,1,1738884,0m11.904s
11,50%,lzma,-6,16,1778958,0m11.422s
12,75%,xz,-3,32,2149748,0m1.288s
13,50%,lzma,-3,16,2131278,0m2.521s
14,50%,lzma,-6,32,1778958,0m11.472s
15,50%,xz,-6,32,1797072,0m8.640s
16,75%,lzma,-3,16,2131278,0m2.517s
17,75%,lzma,-6,32,1778958,0m11.441s
18,100%,lzma,-6,1,1778958,0m11.459s
19,75%,lzma,-3,1,2131278,0m2.535s
2,75%,xz,-9,16,1738892,0m11.876s
20,75%,lzma,-6,1,1778958,0m11.472s
21,75%,lzma,-6,16,1778958,0m11.426s
22,100%,xz,-9,32,1738892,0m11.844s
23,100%,xz,-9,16,1738892,0m11.914s
24,50%,lzma,-9,32,1738572,0m11.831s
25,50%,lzma,-3,32,2131278,0m2.530s
26,100%,xz,-3,1,2131652,0m2.629s
27,100%,lzma,-9,16,1738572,0m11.746s
28,100%,lzma,-3,1,2131278,0m2.564s
29,50%,lzma,-6,1,1778958,0m11.437s
3,100%,xz,-6,32,1797072,0m8.673s
4,50%,lzma,-3,1,2131278,0m2.528s
5,75%,xz,-3,1,2131652,0m2.608s
6,100%,lzma,-6,16,1778958,0m11.428s
7,75%,xz,-6,32,1797072,0m8.643s
8,50%,xz,-3,32,2149748,0m1.290s
9,75%,xz,-9,32,1738892,0m11.858s
