configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,1677984,0m1.751s
1,50%,xz,-3,1,1677976,0m1.749s
10,100%,xz,-9,1,1317152,0m5.214s
11,50%,lzma,-6,16,1316901,0m5.261s
12,75%,xz,-3,32,1677984,0m1.760s
13,50%,lzma,-3,16,1677670,0m1.725s
14,50%,lzma,-6,32,1316901,0m5.184s
15,50%,xz,-6,32,1317160,0m5.147s
16,75%,lzma,-3,16,1677670,0m1.761s
17,75%,lzma,-6,32,1316901,0m5.160s
18,100%,lzma,-6,1,1316901,0m5.164s
19,75%,lzma,-3,1,1677670,0m1.749s
2,75%,xz,-9,16,1317160,0m5.254s
20,75%,lzma,-6,1,1316901,0m5.175s
21,75%,lzma,-6,16,1316901,0m5.151s
22,100%,xz,-9,32,1317160,0m5.248s
23,100%,xz,-9,16,1317160,0m5.259s
24,50%,lzma,-9,32,1316901,0m5.226s
25,50%,lzma,-3,32,1677670,0m1.725s
26,100%,xz,-3,1,1677976,0m1.754s
27,100%,lzma,-9,16,1316901,0m5.267s
28,100%,lzma,-3,1,1677670,0m1.737s
29,50%,lzma,-6,1,1316901,0m5.141s
3,100%,xz,-6,32,1317160,0m5.191s
4,50%,lzma,-3,1,1677670,0m1.716s
5,75%,xz,-3,1,1677976,0m1.735s
6,100%,lzma,-6,16,1316901,0m5.153s
7,75%,xz,-6,32,1317160,0m5.200s
8,50%,xz,-3,32,1677984,0m1.733s
9,75%,xz,-9,32,1317160,0m5.272s
