configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,4914804,0m3.576s
1,50%,xz,-3,1,4914796,0m3.538s
10,100%,xz,-9,1,4489868,0m4.501s
11,50%,lzma,-6,16,4489170,0m4.480s
12,75%,xz,-3,32,4914804,0m3.573s
13,50%,lzma,-3,16,4913990,0m3.497s
14,50%,lzma,-6,32,4489170,0m4.454s
15,50%,xz,-6,32,4489920,0m4.467s
16,75%,lzma,-3,16,4913990,0m3.528s
17,75%,lzma,-6,32,4489170,0m4.449s
18,100%,lzma,-6,1,4489170,0m4.421s
19,75%,lzma,-3,1,4913990,0m3.575s
2,75%,xz,-9,16,4489876,0m4.494s
20,75%,lzma,-6,1,4489170,0m4.486s
21,75%,lzma,-6,16,4489170,0m4.468s
22,100%,xz,-9,32,4489876,0m4.481s
23,100%,xz,-9,16,4489876,0m4.480s
24,50%,lzma,-9,32,4489124,0m4.459s
25,50%,lzma,-3,32,4913990,0m3.513s
26,100%,xz,-3,1,4914796,0m3.500s
27,100%,lzma,-9,16,4489124,0m4.493s
28,100%,lzma,-3,1,4913990,0m3.517s
29,50%,lzma,-6,1,4489170,0m4.469s
3,100%,xz,-6,32,4489920,0m4.450s
4,50%,lzma,-3,1,4913990,0m3.517s
5,75%,xz,-3,1,4914796,0m3.555s
6,100%,lzma,-6,16,4489170,0m4.458s
7,75%,xz,-6,32,4489920,0m4.483s
8,50%,xz,-3,32,4914804,0m3.558s
9,75%,xz,-9,32,4489876,0m4.460s
