configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,4853736,0m2.911s
1,50%,xz,-3,1,4853736,0m2.901s
10,100%,xz,-9,1,4415072,0m3.647s
11,50%,lzma,-6,16,4414351,0m3.753s
12,75%,xz,-3,32,4853736,0m2.925s
13,50%,lzma,-3,16,4852943,0m2.939s
14,50%,lzma,-6,32,4414351,0m3.741s
15,50%,xz,-6,32,4415072,0m3.756s
16,75%,lzma,-3,16,4852943,0m2.914s
17,75%,lzma,-6,32,4414351,0m3.741s
18,100%,lzma,-6,1,4414351,0m3.722s
19,75%,lzma,-3,1,4852943,0m2.937s
2,75%,xz,-9,16,4415072,0m3.668s
20,75%,lzma,-6,1,4414351,0m3.715s
21,75%,lzma,-6,16,4414351,0m3.721s
22,100%,xz,-9,32,4415072,0m3.673s
23,100%,xz,-9,16,4415072,0m3.687s
24,50%,lzma,-9,32,4414351,0m3.659s
25,50%,lzma,-3,32,4852943,0m2.865s
26,100%,xz,-3,1,4853736,0m2.971s
27,100%,lzma,-9,16,4414351,0m3.657s
28,100%,lzma,-3,1,4852943,0m2.934s
29,50%,lzma,-6,1,4414351,0m3.727s
3,100%,xz,-6,32,4415072,0m3.733s
4,50%,lzma,-3,1,4852943,0m2.855s
5,75%,xz,-3,1,4853736,0m2.889s
6,100%,lzma,-6,16,4414351,0m3.723s
7,75%,xz,-6,32,4415072,0m3.770s
8,50%,xz,-3,32,4853736,0m2.923s
9,75%,xz,-9,32,4415072,0m3.662s
