configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,4244480,0m3.144s
1,50%,xz,-3,1,4244480,0m3.165s
10,100%,xz,-9,1,3763616,0m8.882s
11,50%,lzma,-6,16,3786768,0m8.484s
12,75%,xz,-3,32,4244480,0m3.161s
13,50%,lzma,-3,16,4243773,0m3.132s
14,50%,lzma,-6,32,3786768,0m8.564s
15,50%,xz,-6,32,3787400,0m8.544s
16,75%,lzma,-3,16,4243773,0m3.121s
17,75%,lzma,-6,32,3786768,0m8.521s
18,100%,lzma,-6,1,3786768,0m8.529s
19,75%,lzma,-3,1,4243773,0m3.127s
2,75%,xz,-9,16,3763616,0m8.977s
20,75%,lzma,-6,1,3786768,0m8.540s
21,75%,lzma,-6,16,3786768,0m8.564s
22,100%,xz,-9,32,3763616,0m8.928s
23,100%,xz,-9,16,3763616,0m8.906s
24,50%,lzma,-9,32,3762987,0m8.810s
25,50%,lzma,-3,32,4243773,0m3.099s
26,100%,xz,-3,1,4244480,0m3.142s
27,100%,lzma,-9,16,3762987,0m8.835s
28,100%,lzma,-3,1,4243773,0m3.065s
29,50%,lzma,-6,1,3786768,0m8.518s
3,100%,xz,-6,32,3787400,0m8.663s
4,50%,lzma,-3,1,4243773,0m3.093s
5,75%,xz,-3,1,4244480,0m3.159s
6,100%,lzma,-6,16,3786768,0m8.531s
7,75%,xz,-6,32,3787400,0m8.544s
8,50%,xz,-3,32,4244480,0m3.185s
9,75%,xz,-9,32,3763616,0m8.901s
