configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,4244480,0m3.118s
1,50%,xz,-3,1,4244480,0m3.092s
10,100%,xz,-9,1,3763616,0m9.014s
11,50%,lzma,-6,16,3786768,0m8.780s
12,75%,xz,-3,32,4244480,0m3.086s
13,50%,lzma,-3,16,4243773,0m3.088s
14,50%,lzma,-6,32,3786768,0m8.759s
15,50%,xz,-6,32,3787400,0m8.779s
16,75%,lzma,-3,16,4243773,0m3.127s
17,75%,lzma,-6,32,3786768,0m8.749s
18,100%,lzma,-6,1,3786768,0m8.770s
19,75%,lzma,-3,1,4243773,0m3.098s
2,75%,xz,-9,16,3763616,0m9.001s
20,75%,lzma,-6,1,3786768,0m8.843s
21,75%,lzma,-6,16,3786768,0m8.811s
22,100%,xz,-9,32,3763616,0m8.983s
23,100%,xz,-9,16,3763616,0m9.112s
24,50%,lzma,-9,32,3762987,0m9.058s
25,50%,lzma,-3,32,4243773,0m3.088s
26,100%,xz,-3,1,4244480,0m3.563s
27,100%,lzma,-9,16,3762987,0m8.982s
28,100%,lzma,-3,1,4243773,0m3.061s
29,50%,lzma,-6,1,3786768,0m8.862s
3,100%,xz,-6,32,3787400,0m8.856s
4,50%,lzma,-3,1,4243773,0m3.095s
5,75%,xz,-3,1,4244480,0m3.126s
6,100%,lzma,-6,16,3786768,0m8.787s
7,75%,xz,-6,32,3787400,0m8.804s
8,50%,xz,-3,32,4244480,0m3.106s
9,75%,xz,-9,32,3763616,0m9.008s
