configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,14777004,0m9.940s
1,50%,xz,-3,1,14777004,0m9.949s
10,100%,xz,-9,1,13374160,0m28.781s
11,50%,lzma,-6,16,13497551,0m26.097s
12,75%,xz,-3,32,14777004,0m9.892s
13,50%,lzma,-3,16,14775082,0m9.901s
14,50%,lzma,-6,32,13497551,0m26.095s
15,50%,xz,-6,32,13503600,0m25.800s
16,75%,lzma,-3,16,14775082,0m9.960s
17,75%,lzma,-6,32,13497551,0m26.057s
18,100%,lzma,-6,1,13497551,0m26.002s
19,75%,lzma,-3,1,14775082,0m9.867s
2,75%,xz,-9,16,13374160,0m28.873s
20,75%,lzma,-6,1,13497551,0m26.010s
21,75%,lzma,-6,16,13497551,0m25.913s
22,100%,xz,-9,32,13374160,0m28.853s
23,100%,xz,-9,16,13374160,0m28.771s
24,50%,lzma,-9,32,13365111,0m28.869s
25,50%,lzma,-3,32,14775082,0m9.914s
26,100%,xz,-3,1,14777004,0m9.920s
27,100%,lzma,-9,16,13365111,0m28.859s
28,100%,lzma,-3,1,14775082,0m9.954s
29,50%,lzma,-6,1,13497551,0m25.925s
3,100%,xz,-6,32,13503600,0m25.800s
4,50%,lzma,-3,1,14775082,0m9.952s
5,75%,xz,-3,1,14777004,0m9.969s
6,100%,lzma,-6,16,13497551,0m26.027s
7,75%,xz,-6,32,13503600,0m26.030s
8,50%,xz,-3,32,14777004,0m9.942s
9,75%,xz,-9,32,13374160,0m28.941s
