configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,14777004,0m9.736s
1,50%,xz,-3,1,14777004,0m9.734s
10,100%,xz,-9,1,13374160,0m27.460s
11,50%,lzma,-6,16,13497551,0m24.442s
12,75%,xz,-3,32,14777004,0m9.692s
13,50%,lzma,-3,16,14775082,0m9.729s
14,50%,lzma,-6,32,13497551,0m24.402s
15,50%,xz,-6,32,13503600,0m24.375s
16,75%,lzma,-3,16,14775082,0m9.668s
17,75%,lzma,-6,32,13497551,0m24.375s
18,100%,lzma,-6,1,13497551,0m24.324s
19,75%,lzma,-3,1,14775082,0m9.643s
2,75%,xz,-9,16,13374160,0m27.479s
20,75%,lzma,-6,1,13497551,0m24.376s
21,75%,lzma,-6,16,13497551,0m24.495s
22,100%,xz,-9,32,13374160,0m27.413s
23,100%,xz,-9,16,13374160,0m27.401s
24,50%,lzma,-9,32,13365111,0m27.441s
25,50%,lzma,-3,32,14775082,0m9.656s
26,100%,xz,-3,1,14777004,0m9.757s
27,100%,lzma,-9,16,13365111,0m27.385s
28,100%,lzma,-3,1,14775082,0m9.771s
29,50%,lzma,-6,1,13497551,0m24.545s
3,100%,xz,-6,32,13503600,0m24.338s
4,50%,lzma,-3,1,14775082,0m9.663s
5,75%,xz,-3,1,14777004,0m9.700s
6,100%,lzma,-6,16,13497551,0m24.439s
7,75%,xz,-6,32,13503600,0m24.363s
8,50%,xz,-3,32,14777004,0m9.669s
9,75%,xz,-9,32,13374160,0m27.442s
