configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,3001844,0m2.650s
1,50%,xz,-3,1,3001844,0m2.674s
10,100%,xz,-9,1,2750272,0m5.384s
11,50%,lzma,-6,16,2749760,0m5.242s
12,75%,xz,-3,32,3001844,0m2.646s
13,50%,lzma,-3,16,3001334,0m2.671s
14,50%,lzma,-6,32,2749760,0m5.241s
15,50%,xz,-6,32,2750228,0m5.257s
16,75%,lzma,-3,16,3001334,0m2.642s
17,75%,lzma,-6,32,2749760,0m5.221s
18,100%,lzma,-6,1,2749760,0m5.230s
19,75%,lzma,-3,1,3001334,0m2.612s
2,75%,xz,-9,16,2750272,0m5.357s
20,75%,lzma,-6,1,2749760,0m5.288s
21,75%,lzma,-6,16,2749760,0m5.259s
22,100%,xz,-9,32,2750272,0m5.326s
23,100%,xz,-9,16,2750272,0m5.356s
24,50%,lzma,-9,32,2749803,0m5.344s
25,50%,lzma,-3,32,3001334,0m2.654s
26,100%,xz,-3,1,3001844,0m2.650s
27,100%,lzma,-9,16,2749803,0m5.361s
28,100%,lzma,-3,1,3001334,0m2.618s
29,50%,lzma,-6,1,2749760,0m5.292s
3,100%,xz,-6,32,2750228,0m5.242s
4,50%,lzma,-3,1,3001334,0m2.668s
5,75%,xz,-3,1,3001844,0m2.614s
6,100%,lzma,-6,16,2749760,0m5.209s
7,75%,xz,-6,32,2750228,0m5.230s
8,50%,xz,-3,32,3001844,0m2.626s
9,75%,xz,-9,32,2750272,0m5.362s
