configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,4853744,0m2.870s
1,50%,xz,-3,1,4853736,0m2.820s
10,100%,xz,-9,1,4415072,0m3.547s
11,50%,lzma,-6,16,4414351,0m3.580s
12,75%,xz,-3,32,4853744,0m2.875s
13,50%,lzma,-3,16,4852943,0m2.812s
14,50%,lzma,-6,32,4414351,0m3.636s
15,50%,xz,-6,32,4415080,0m3.606s
16,75%,lzma,-3,16,4852943,0m2.822s
17,75%,lzma,-6,32,4414351,0m3.654s
18,100%,lzma,-6,1,4414351,0m3.619s
19,75%,lzma,-3,1,4852943,0m2.788s
2,75%,xz,-9,16,4415080,0m3.569s
20,75%,lzma,-6,1,4414351,0m3.609s
21,75%,lzma,-6,16,4414351,0m3.603s
22,100%,xz,-9,32,4415080,0m3.588s
23,100%,xz,-9,16,4415080,0m3.551s
24,50%,lzma,-9,32,4414351,0m3.539s
25,50%,lzma,-3,32,4852943,0m2.839s
26,100%,xz,-3,1,4853736,0m2.845s
27,100%,lzma,-9,16,4414351,0m3.554s
28,100%,lzma,-3,1,4852943,0m2.825s
29,50%,lzma,-6,1,4414351,0m3.606s
3,100%,xz,-6,32,4415080,0m3.664s
4,50%,lzma,-3,1,4852943,0m2.813s
5,75%,xz,-3,1,4853736,0m2.831s
6,100%,lzma,-6,16,4414351,0m3.628s
7,75%,xz,-6,32,4415080,0m3.640s
8,50%,xz,-3,32,4853744,0m2.863s
9,75%,xz,-9,32,4415080,0m3.615s
