configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,3382420,0m4.030s
1,50%,xz,-3,1,3382412,0m3.977s
10,100%,xz,-9,1,2830604,0m7.907s
11,50%,lzma,-6,16,2831189,0m7.804s
12,75%,xz,-3,32,3382420,0m4.019s
13,50%,lzma,-3,16,3381840,0m3.935s
14,50%,lzma,-6,32,2831189,0m7.764s
15,50%,xz,-6,32,2831684,0m7.852s
16,75%,lzma,-3,16,3381840,0m3.931s
17,75%,lzma,-6,32,2831189,0m7.750s
18,100%,lzma,-6,1,2831189,0m7.807s
19,75%,lzma,-3,1,3381840,0m3.972s
2,75%,xz,-9,16,2830612,0m8.016s
20,75%,lzma,-6,1,2831189,0m7.773s
21,75%,lzma,-6,16,2831189,0m7.774s
22,100%,xz,-9,32,2830612,0m8.018s
23,100%,xz,-9,16,2830612,0m7.991s
24,50%,lzma,-9,32,2830116,0m7.886s
25,50%,lzma,-3,32,3381840,0m3.976s
26,100%,xz,-3,1,3382412,0m3.979s
27,100%,lzma,-9,16,2830116,0m7.956s
28,100%,lzma,-3,1,3381840,0m3.996s
29,50%,lzma,-6,1,2831189,0m7.748s
3,100%,xz,-6,32,2831684,0m7.831s
4,50%,lzma,-3,1,3381840,0m3.983s
5,75%,xz,-3,1,3382412,0m3.999s
6,100%,lzma,-6,16,2831189,0m7.745s
7,75%,xz,-6,32,2831684,0m7.789s
8,50%,xz,-3,32,3382420,0m3.993s
9,75%,xz,-9,32,2830612,0m7.982s
