configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,4248448,0m2.037s
1,50%,xz,-3,1,4244480,0m3.074s
10,100%,xz,-9,1,3763616,0m8.370s
11,50%,lzma,-6,16,3786768,0m7.970s
12,75%,xz,-3,32,4248448,0m2.033s
13,50%,lzma,-3,16,4243773,0m3.006s
14,50%,lzma,-6,32,3786768,0m7.958s
15,50%,xz,-6,32,3787408,0m8.054s
16,75%,lzma,-3,16,4243773,0m3.015s
17,75%,lzma,-6,32,3786768,0m8.046s
18,100%,lzma,-6,1,3786768,0m8.052s
19,75%,lzma,-3,1,4243773,0m2.980s
2,75%,xz,-9,16,3763624,0m8.416s
20,75%,lzma,-6,1,3786768,0m7.990s
21,75%,lzma,-6,16,3786768,0m7.991s
22,100%,xz,-9,32,3763624,0m8.359s
23,100%,xz,-9,16,3763624,0m8.405s
24,50%,lzma,-9,32,3762987,0m8.303s
25,50%,lzma,-3,32,4243773,0m3.020s
26,100%,xz,-3,1,4244480,0m3.039s
27,100%,lzma,-9,16,3762987,0m8.342s
28,100%,lzma,-3,1,4243773,0m3.020s
29,50%,lzma,-6,1,3786768,0m7.922s
3,100%,xz,-6,32,3787408,0m8.030s
4,50%,lzma,-3,1,4243773,0m2.974s
5,75%,xz,-3,1,4244480,0m3.043s
6,100%,lzma,-6,16,3786768,0m7.987s
7,75%,xz,-6,32,3787408,0m8.062s
8,50%,xz,-3,32,4248448,0m2.020s
9,75%,xz,-9,32,3763624,0m8.387s
