configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,4853736,0m2.828s
1,50%,xz,-3,1,4853736,0m2.827s
10,100%,xz,-9,1,4415072,0m3.534s
11,50%,lzma,-6,16,4414351,0m3.606s
12,75%,xz,-3,32,4853736,0m2.837s
13,50%,lzma,-3,16,4852943,0m2.898s
14,50%,lzma,-6,32,4414351,0m3.606s
15,50%,xz,-6,32,4415072,0m3.609s
16,75%,lzma,-3,16,4852943,0m2.856s
17,75%,lzma,-6,32,4414351,0m3.584s
18,100%,lzma,-6,1,4414351,0m3.655s
19,75%,lzma,-3,1,4852943,0m2.865s
2,75%,xz,-9,16,4415072,0m3.549s
20,75%,lzma,-6,1,4414351,0m3.604s
21,75%,lzma,-6,16,4414351,0m3.647s
22,100%,xz,-9,32,4415072,0m3.528s
23,100%,xz,-9,16,4415072,0m3.541s
24,50%,lzma,-9,32,4414351,0m3.562s
25,50%,lzma,-3,32,4852943,0m2.829s
26,100%,xz,-3,1,4853736,0m2.849s
27,100%,lzma,-9,16,4414351,0m3.565s
28,100%,lzma,-3,1,4852943,0m2.813s
29,50%,lzma,-6,1,4414351,0m3.585s
3,100%,xz,-6,32,4415072,0m3.639s
4,50%,lzma,-3,1,4852943,0m2.833s
5,75%,xz,-3,1,4853736,0m2.838s
6,100%,lzma,-6,16,4414351,0m3.677s
7,75%,xz,-6,32,4415072,0m3.681s
8,50%,xz,-3,32,4853736,0m2.850s
9,75%,xz,-9,32,4415072,0m3.556s
