--disable-option-checking,--disable-assembler,--disable-xzdec,--disable-lzmadec,--disable-lzmainfo,--disable-lzma-links,--disable-scripts,--disable-doc,--disable-silent-rules,--disable-dependency-tracking,--disable-libtool-lock,--disable-nls,--disable-rpath,--disable-largefile,--enable-debug,--enable-encoders=lzma1,"--enable-encoders=lzma1,lzma2","--enable-encoders=lzma1,delta","--enable-encoders=lzma1,x86","--enable-encoders=lzma1,powerpc","--enable-encoders=lzma1,ia64","--enable-encoders=lzma1,arm","--enable-encoders=lzma1,armthumb","--enable-encoders=lzma1,sparc",--enable-decoders=lzma1,"--enable-decoders=lzma1,lzma2","--enable-decoders=lzma1,delta","--enable-decoders=lzma1,x86","--enable-decoders=lzma1,powerpc","--enable-decoders=lzma1,ia64","--enable-decoders=lzma1,arm","--enable-decoders=lzma1,armthumb","--enable-decoders=lzma1,sparc",--enable-match-finders=hc3,--enable-match-finders=hc4,--enable-match-finders=bt2,--enable-match-finders=bt3,--enable-match-finders=bt4,--enable-checks=crc32,"--enable-checks=crc32,crc64","--enable-checks=crc32,sha256",--enable-small,--enable-threads=yes,--enable-threads=no,--enable-threads=posix,--enable-assume-ram=128,--enable-symbol-versions,--enable-sandbox=auto,--enable-sandbox=no,--enable-sandbox=capsicum,--enable-silent-rules,--enable-dependency-tracking,--enable-fast-install,--enable-fast-install=no,--enable-unaligned-access,--enable-unsafe-type-punning,--with-pic=PIC,--with-pic=non-PIC,--with-aix-soname=aix,--with-aix-soname=svr4,--with-aix-soname=both,--with-gnu-ld,--with-gnu-ld=no,--without-libiconv-prefix,--without-libintl-prefix,binary-size,unit,nr-of-gadgets
true,true,false,false,true,true,true,true,false,false,true,false,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false,false,true,false,false,false,false,false,true,true,false,false,true,false,true,false,true,true,1147816,bytes,7816
true,false,false,true,false,true,true,true,false,false,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,true,false,false,false,true,false,false,true,false,true,true,false,false,true,true,false,false,true,false,false,true,1083840,bytes,7900
true,true,true,false,false,true,false,true,true,true,false,false,false,true,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false,false,false,true,true,true,false,true,false,false,false,false,true,false,false,false,true,false,1089312,bytes,7647
false,false,false,false,false,false,false,false,true,true,true,true,false,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,true,false,false,true,true,true,true,false,true,false,false,true,false,false,false,false,true,1165304,bytes,8197
false,true,false,false,false,false,false,true,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,true,false,false,true,false,false,true,false,true,false,false,true,true,true,true,false,true,false,false,false,true,false,false,false,true,true,1217680,bytes,8345
false,false,true,false,false,false,true,true,false,true,true,true,true,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false,true,false,false,false,true,false,false,true,false,false,true,false,true,false,false,false,false,true,true,false,false,false,1055960,bytes,7436
true,true,false,false,true,false,false,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,true,true,true,false,false,false,true,false,false,false,true,false,false,false,false,1083280,bytes,8067
false,true,false,false,false,true,true,true,false,true,false,true,true,false,true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,true,false,true,false,true,false,true,true,false,false,false,false,true,true,1228896,bytes,8452
true,false,true,true,false,true,true,false,true,false,true,false,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,true,true,false,true,false,false,false,false,false,false,true,false,false,false,true,1142456,bytes,7671
true,false,false,false,true,true,true,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,true,true,true,true,false,false,false,true,false,false,false,false,1142456,bytes,7671
true,false,true,true,false,true,false,false,false,false,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,false,false,true,false,true,true,false,true,true,true,false,false,false,true,true,false,false,false,1142456,bytes,7671
false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,true,false,false,false,true,true,false,true,true,false,false,false,false,false,true,false,false,false,false,true,1142456,bytes,7671
true,true,true,false,true,true,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,true,false,false,true,false,false,true,false,true,true,true,true,false,true,false,true,false,false,true,false,false,false,false,1224888,bytes,8838
false,true,true,false,true,false,true,true,true,true,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,false,true,false,true,true,false,true,false,false,false,true,true,false,false,false,false,false,true,1055464,bytes,7988
false,false,true,false,true,true,false,false,false,false,false,true,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,true,true,false,false,false,true,false,false,false,true,false,true,false,false,true,true,false,true,false,1165184,bytes,8442
true,false,true,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,false,true,true,false,false,true,false,true,false,false,false,true,false,false,false,true,false,false,true,false,1168488,bytes,8305
true,true,false,false,true,true,true,true,false,true,true,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,true,false,false,true,true,false,false,false,false,true,true,false,true,false,false,false,false,false,true,1168488,bytes,8305
true,false,true,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,true,false,false,false,true,true,false,true,false,true,false,true,false,true,false,false,false,false,false,true,1168488,bytes,8305
true,false,true,false,true,true,false,true,false,false,false,false,true,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,true,false,true,true,false,false,true,false,false,true,false,true,false,true,false,false,true,1200128,bytes,8714
false,false,true,false,true,false,false,true,false,true,false,false,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,true,false,true,true,true,false,false,false,false,true,false,true,true,false,false,false,false,true,false,false,false,true,977512,bytes,7078
false,false,true,true,true,false,false,false,false,true,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,false,true,false,false,true,false,false,true,true,true,false,true,false,false,true,true,false,false,true,false,true,false,1131536,bytes,7730
false,false,false,true,true,true,false,true,true,false,true,true,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,true,false,true,false,true,true,true,false,false,true,false,true,false,true,true,false,false,false,true,false,false,false,false,false,974952,bytes,7102
false,true,true,false,true,false,false,false,false,true,false,true,true,true,true,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,true,false,false,true,false,true,true,false,true,false,false,false,false,false,false,true,false,true,false,974952,bytes,7102
true,false,false,true,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,true,false,false,true,false,true,false,false,false,false,true,false,false,true,false,false,true,false,1122272,bytes,8043
false,false,false,false,true,true,false,true,false,true,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,true,true,false,false,true,1150584,bytes,8176
true,false,true,false,true,false,false,false,true,false,false,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,true,true,true,false,true,false,false,true,false,true,true,true,false,false,false,false,true,true,false,true,false,1058720,bytes,7528
false,false,false,false,false,false,true,false,true,false,false,true,true,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,true,false,false,true,false,false,true,false,false,true,false,false,false,true,false,false,false,false,false,true,false,true,false,1080328,bytes,7491
true,false,true,true,false,false,true,true,false,false,true,true,true,true,true,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,true,false,false,false,true,false,true,true,true,false,true,false,true,true,false,false,true,false,true,false,1080328,bytes,7491
false,false,false,false,false,false,true,true,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,true,true,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,true,false,1038512,bytes,7586
true,false,false,true,false,true,true,true,false,true,true,true,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,true,true,false,true,false,false,false,true,true,true,true,false,false,true,false,false,true,true,false,false,false,1155792,bytes,8383
true,false,false,false,false,true,true,true,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,true,true,false,true,false,false,false,true,false,true,false,true,true,1080944,bytes,8036
true,true,false,false,true,false,true,false,false,true,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false,true,false,true,true,false,true,false,true,false,true,false,false,false,false,true,false,1080944,bytes,8036
true,false,false,false,true,true,true,false,false,false,false,true,true,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,true,true,false,false,true,false,true,true,false,false,true,false,false,false,1080944,bytes,8036
false,true,false,false,false,true,false,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,true,true,false,false,false,true,true,false,false,false,false,false,false,false,true,false,true,true,false,false,true,false,true,false,1051648,bytes,7737
true,false,false,false,true,true,true,true,true,false,true,true,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,true,true,true,false,false,true,false,false,true,false,false,true,true,true,false,false,false,true,false,true,false,false,false,true,false,1064152,bytes,7595
false,true,true,true,false,false,false,true,false,false,false,true,true,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,true,false,false,false,true,true,true,true,false,true,true,false,false,true,false,false,true,1086656,bytes,8007
false,false,true,true,true,false,true,false,false,true,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,true,false,false,true,false,false,false,false,false,false,false,true,false,true,true,1078952,bytes,7780
false,false,false,false,true,false,true,false,true,false,true,false,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,true,false,1064656,bytes,7929
false,true,true,true,false,true,false,true,false,true,false,true,false,false,true,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,true,false,true,false,false,true,false,true,true,true,true,false,false,true,false,false,false,true,false,1154384,bytes,8306
true,false,true,false,false,false,true,true,true,true,false,true,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false,true,false,true,false,true,true,true,true,false,true,true,false,false,true,false,true,true,1232664,bytes,8432
false,true,false,false,false,true,true,true,true,true,true,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,true,false,false,true,true,1204552,bytes,8250
false,false,false,false,false,false,false,true,false,false,true,true,true,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,true,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,1244112,bytes,8521
true,false,true,false,false,true,false,false,true,true,false,true,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false,false,false,true,false,true,false,false,true,false,true,false,false,false,false,false,false,false,true,1244112,bytes,8521
true,false,false,true,true,false,true,true,true,true,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,false,true,false,false,true,false,false,false,true,false,true,false,false,true,true,false,false,true,true,false,false,false,false,false,false,999144,bytes,7361
false,true,true,true,true,true,false,true,true,true,false,false,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,true,false,true,false,false,false,false,false,false,false,true,true,false,false,false,true,false,false,false,false,1037288,bytes,7596
true,true,false,true,false,false,false,true,true,false,false,true,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,true,false,true,true,false,false,true,true,true,false,true,false,false,false,true,false,false,false,true,false,false,true,1037288,bytes,7596
false,false,false,true,true,true,false,false,false,true,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,true,false,false,false,false,true,true,false,false,false,true,false,false,true,false,false,false,false,1201016,bytes,8590
true,true,false,true,true,false,true,false,true,false,true,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,true,false,true,false,false,true,true,true,false,false,true,false,true,false,false,true,true,false,false,true,1014288,bytes,7517
true,true,true,true,true,true,false,false,true,true,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,true,true,true,false,true,false,false,false,true,false,true,false,false,true,false,true,false,true,false,false,false,1075576,bytes,7634
false,true,false,true,true,false,false,true,true,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,true,false,false,true,false,false,false,true,false,true,false,true,false,true,false,false,true,false,false,true,false,true,false,1075576,bytes,7634
true,true,true,true,false,true,false,false,false,true,true,false,true,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,true,false,false,false,true,false,false,true,true,false,true,true,false,true,false,false,false,false,true,false,false,true,false,1075576,bytes,7634
false,true,false,false,true,false,false,true,false,true,true,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,true,true,false,false,false,false,false,true,false,false,false,false,false,true,true,1078792,bytes,7720
true,true,false,false,true,false,true,false,true,false,true,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,true,true,false,false,true,false,true,false,false,false,false,true,true,false,false,true,false,true,true,1040664,bytes,7409
false,true,false,true,false,true,true,false,false,false,true,true,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,true,false,true,false,true,false,true,false,false,true,1174040,bytes,7994
true,true,true,true,true,true,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,true,false,true,false,false,false,false,false,false,true,false,true,true,false,false,true,false,true,false,1017784,bytes,7538
true,true,true,false,false,true,true,false,true,true,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,true,true,false,false,true,true,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,true,false,1057496,bytes,7515
true,false,true,true,true,true,false,true,false,true,false,true,true,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,true,false,true,true,true,false,true,false,true,false,false,false,false,true,1242072,bytes,8545
true,true,true,false,true,false,true,false,false,false,false,true,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,true,false,false,false,false,false,false,true,true,false,true,false,false,true,false,false,false,false,1251944,bytes,8602
false,true,false,false,false,false,true,true,false,false,true,true,true,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,true,true,true,false,false,false,false,true,true,false,false,false,true,false,false,true,false,false,true,false,1142104,bytes,7815
true,false,true,false,true,false,true,true,true,true,true,true,false,true,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,true,false,false,false,true,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,1142104,bytes,7815
true,true,true,false,true,false,false,true,false,true,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,true,true,false,false,true,false,true,false,false,true,false,true,false,true,false,false,false,false,false,996280,bytes,7459
false,true,true,true,false,false,true,false,false,true,true,true,true,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,true,false,false,false,false,false,false,true,true,false,true,false,true,true,false,false,false,false,true,true,1094352,bytes,7842
false,true,true,true,false,true,false,false,false,false,true,true,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,true,false,true,false,false,false,false,false,false,false,false,false,true,true,true,false,false,true,false,false,true,false,false,true,970872,bytes,7001
false,true,true,false,false,true,true,true,true,true,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,true,false,true,false,true,false,true,false,false,false,false,true,false,false,true,false,false,false,true,1105128,bytes,8327
true,false,true,false,true,false,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,true,false,true,false,false,false,true,true,false,true,false,false,true,true,false,false,false,true,false,false,false,false,1105128,bytes,8327
false,true,true,false,true,false,true,true,false,false,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,true,false,false,true,false,false,true,false,false,false,true,false,false,true,true,1076736,bytes,7995
true,false,true,false,false,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,true,false,false,true,false,false,true,false,false,false,true,false,true,false,false,false,true,false,false,true,false,true,false,1142376,bytes,8029
false,true,true,false,false,false,false,true,false,true,true,false,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false,false,false,true,true,false,true,true,true,false,true,false,false,false,false,false,false,1212656,bytes,8026
false,false,false,false,false,true,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,false,false,true,true,true,false,true,true,true,false,false,false,false,true,true,false,false,true,1212656,bytes,8026
true,true,true,false,true,false,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,true,false,true,false,false,false,false,true,true,1228672,bytes,8576
false,false,false,false,false,true,true,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,true,true,false,false,true,false,true,false,false,false,false,false,false,false,false,true,false,true,false,1131336,bytes,7903
