configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1536651,0m1.901s
1,tiff,1,1,0,1,1536639,0m1.851s
10,png,1,0,1,1,1615781,0m3.553s
11,png,1,0,0,1,1615756,0m3.534s
12,png,0,1,0,0,1843163,0m3.710s
13,png,0,0,0,0,1843145,0m3.697s
14,png,0,0,0,1,1843149,0m3.721s
15,png,0,1,1,0,1843142,0m3.688s
2,tiff,1,0,1,1,1536670,0m1.870s
3,tiff,1,0,0,1,1536639,0m1.892s
4,tiff,0,1,0,0,1795136,0m1.906s
5,tiff,0,0,0,0,1795106,0m1.859s
6,tiff,0,0,0,1,1795124,0m1.851s
7,tiff,0,1,1,0,1794973,0m1.882s
8,png,1,1,1,1,1615739,0m3.598s
9,png,1,1,0,1,1615747,0m3.602s
