configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,3273947,0m5.481s
1,tiff,1,1,0,1,3273939,0m5.530s
10,png,1,0,1,1,3254980,0m8.813s
11,png,1,0,0,1,3254946,0m8.818s
12,png,0,1,0,0,8502336,0m26.048s
13,png,0,0,0,0,8502402,0m26.120s
14,png,0,0,0,1,8502342,0m26.099s
15,png,0,1,1,0,8502353,0m26.033s
2,tiff,1,0,1,1,3273987,0m5.493s
3,tiff,1,0,0,1,3273986,0m5.442s
4,tiff,0,1,0,0,10068928,0m6.118s
5,tiff,0,0,0,0,10068875,0m6.230s
6,tiff,0,0,0,1,10068971,0m6.124s
7,tiff,0,1,1,0,10068799,0m6.177s
8,png,1,1,1,1,3254933,0m8.863s
9,png,1,1,0,1,3254928,0m8.888s
