configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1205625,0m1.170s
1,tiff,1,1,0,1,1205815,0m1.147s
10,png,1,0,1,1,1349717,0m2.505s
11,png,1,0,0,1,1349687,0m2.530s
12,png,0,1,0,0,3178080,0m5.034s
13,png,0,0,0,0,3177551,0m4.996s
14,png,0,0,0,1,3177538,0m4.975s
15,png,0,1,1,0,3177549,0m5.006s
2,tiff,1,0,1,1,1205965,0m1.167s
3,tiff,1,0,0,1,1205574,0m1.220s
4,tiff,0,1,0,0,3876291,0m1.329s
5,tiff,0,0,0,0,3875939,0m1.317s
6,tiff,0,0,0,1,3876288,0m1.352s
7,tiff,0,1,1,0,3875969,0m1.332s
8,png,1,1,1,1,1349686,0m2.863s
9,png,1,1,0,1,1349681,0m2.531s
