configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,739164,0m1.719s
1,tiff,1,1,0,1,739164,0m1.696s
10,png,1,0,1,1,739165,0m1.728s
11,png,1,0,0,1,739161,0m1.785s
12,png,0,1,0,0,3168072,0m5.461s
13,png,0,0,0,0,3168074,0m5.425s
14,png,0,0,0,1,3168072,0m5.467s
15,png,0,1,1,0,3168071,0m5.449s
2,tiff,1,0,1,1,739160,0m1.718s
3,tiff,1,0,0,1,739164,0m1.778s
4,tiff,0,1,0,0,4807718,0m1.817s
5,tiff,0,0,0,0,4807631,0m1.848s
6,tiff,0,0,0,1,4807710,0m1.832s
7,tiff,0,1,1,0,4807631,0m1.819s
8,png,1,1,1,1,739163,0m1.705s
9,png,1,1,0,1,739164,0m1.697s
