configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1612688,0m1.337s
1,tiff,1,1,0,1,1612693,0m1.312s
10,png,1,0,1,1,1577760,0m3.077s
11,png,1,0,0,1,1577752,0m3.082s
12,png,0,1,0,0,2357340,0m5.076s
13,png,0,0,0,0,2357338,0m5.056s
14,png,0,0,0,1,2341684,0m4.870s
15,png,0,1,1,0,2357331,0m5.065s
2,tiff,1,0,1,1,1612683,0m1.315s
3,tiff,1,0,0,1,1612715,0m1.344s
4,tiff,0,1,0,0,2762573,0m1.399s
5,tiff,0,0,0,0,2761917,0m1.458s
6,tiff,0,0,0,1,2745031,0m1.391s
7,tiff,0,1,1,0,2762585,0m1.399s
8,png,1,1,1,1,1577744,0m3.119s
9,png,1,1,0,1,1577765,0m3.114s
