configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,6362651,0m6.121s
1,tiff,1,1,0,1,6362669,0m6.174s
10,png,1,0,1,1,6662754,0m12.320s
11,png,1,0,0,1,6662503,0m12.302s
12,png,0,1,0,0,10651898,0m32.234s
13,png,0,0,0,0,10651921,0m32.093s
14,png,0,0,0,1,10651919,0m31.791s
15,png,0,1,1,0,10651897,0m31.787s
2,tiff,1,0,1,1,6362665,0m6.166s
3,tiff,1,0,0,1,6362655,0m6.110s
4,tiff,0,1,0,0,11409244,0m9.367s
5,tiff,0,0,0,0,11409563,0m9.393s
6,tiff,0,0,0,1,11409564,0m9.312s
7,tiff,0,1,1,0,11409236,0m9.410s
8,png,1,1,1,1,6662488,0m12.367s
9,png,1,1,0,1,6662507,0m12.480s
