configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,515656,0m0.484s
1,50%,xz,-3,1,515648,0m0.442s
10,100%,xz,-9,1,453260,0m1.491s
11,50%,lzma,-6,16,453144,0m1.433s
12,75%,xz,-3,32,515656,0m0.450s
13,50%,lzma,-3,16,515524,0m0.451s
14,50%,lzma,-6,32,453144,0m1.437s
15,50%,xz,-6,32,453268,0m1.457s
16,75%,lzma,-3,16,515524,0m0.444s
17,75%,lzma,-6,32,453144,0m1.393s
18,100%,lzma,-6,1,453144,0m1.398s
19,75%,lzma,-3,1,515524,0m0.424s
2,75%,xz,-9,16,453268,0m1.507s
20,75%,lzma,-6,1,453144,0m1.432s
21,75%,lzma,-6,16,453144,0m1.402s
22,100%,xz,-9,32,453268,0m1.476s
23,100%,xz,-9,16,453268,0m1.504s
24,50%,lzma,-9,32,453144,0m1.443s
25,50%,lzma,-3,32,515524,0m0.456s
26,100%,xz,-3,1,515648,0m0.475s
27,100%,lzma,-9,16,453144,0m1.446s
28,100%,lzma,-3,1,515524,0m0.450s
29,50%,lzma,-6,1,453144,0m1.434s
3,100%,xz,-6,32,453268,0m1.425s
4,50%,lzma,-3,1,515524,0m0.428s
5,75%,xz,-3,1,515648,0m0.445s
6,100%,lzma,-6,16,453144,0m1.453s
7,75%,xz,-6,32,453268,0m1.452s
8,50%,xz,-3,32,515656,0m0.483s
9,75%,xz,-9,32,453268,0m1.504s
