configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,3272448,0m2.292s
1,50%,xz,-3,1,3272440,0m2.242s
10,100%,xz,-9,1,2849908,0m5.572s
11,50%,lzma,-6,16,2849620,0m5.450s
12,75%,xz,-3,32,3272448,0m2.249s
13,50%,lzma,-3,16,3271884,0m2.245s
14,50%,lzma,-6,32,2849620,0m5.493s
15,50%,xz,-6,32,2850112,0m5.496s
16,75%,lzma,-3,16,3271884,0m2.246s
17,75%,lzma,-6,32,2849620,0m5.417s
18,100%,lzma,-6,1,2849620,0m5.471s
19,75%,lzma,-3,1,3271884,0m2.268s
2,75%,xz,-9,16,2849916,0m5.560s
20,75%,lzma,-6,1,2849620,0m5.454s
21,75%,lzma,-6,16,2849620,0m5.451s
22,100%,xz,-9,32,2849916,0m5.555s
23,100%,xz,-9,16,2849916,0m5.528s
24,50%,lzma,-9,32,2849422,0m5.551s
25,50%,lzma,-3,32,3271884,0m2.226s
26,100%,xz,-3,1,3272440,0m2.315s
27,100%,lzma,-9,16,2849422,0m5.551s
28,100%,lzma,-3,1,3271884,0m2.208s
29,50%,lzma,-6,1,2849620,0m5.440s
3,100%,xz,-6,32,2850112,0m5.463s
4,50%,lzma,-3,1,3271884,0m2.233s
5,75%,xz,-3,1,3272440,0m2.252s
6,100%,lzma,-6,16,2849620,0m5.518s
7,75%,xz,-6,32,2850112,0m5.488s
8,50%,xz,-3,32,3272448,0m2.263s
9,75%,xz,-9,32,2849916,0m5.558s
