configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,175432,0m0.172s
1,tiff,1,1,0,1,175432,0m0.172s
10,png,1,0,1,1,169454,0m0.200s
11,png,1,0,0,1,169395,0m0.199s
12,png,0,1,0,0,1185058,0m2.891s
13,png,0,0,0,0,1185039,0m2.906s
14,png,0,0,0,1,1184923,0m2.865s
15,png,0,1,1,0,1185026,0m2.911s
2,tiff,1,0,1,1,175434,0m0.199s
3,tiff,1,0,0,1,175434,0m0.198s
4,tiff,0,1,0,0,1698388,0m0.346s
5,tiff,0,0,0,0,1698465,0m0.341s
6,tiff,0,0,0,1,1696979,0m0.377s
7,tiff,0,1,1,0,1698404,0m0.345s
8,png,1,1,1,1,169391,0m0.192s
9,png,1,1,0,1,169391,0m0.173s
