configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,2213022,0m4.159s
1,tiff,1,1,0,1,2213236,0m4.203s
10,png,1,0,1,1,1753498,0m8.240s
11,png,1,0,0,1,1753216,0m8.170s
12,png,0,1,0,0,1894388,0m8.372s
13,png,0,0,0,0,1894313,0m8.264s
14,png,0,0,0,1,1894351,0m8.271s
15,png,0,1,1,0,1894292,0m8.270s
2,tiff,1,0,1,1,2214442,0m4.181s
3,tiff,1,0,0,1,2213254,0m4.141s
4,tiff,0,1,0,0,2400406,0m4.218s
5,tiff,0,0,0,0,2400471,0m4.230s
6,tiff,0,0,0,1,2401165,0m4.199s
7,tiff,0,1,1,0,2400342,0m4.243s
8,png,1,1,1,1,1753305,0m8.180s
9,png,1,1,0,1,1753358,0m8.182s
