configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1536628,0m1.911s
1,tiff,1,1,0,1,1536614,0m1.876s
10,png,1,0,1,1,1615764,0m3.556s
11,png,1,0,0,1,1615766,0m3.527s
12,png,0,1,0,0,1843141,0m3.705s
13,png,0,0,0,0,1843142,0m3.679s
14,png,0,0,0,1,1843136,0m3.720s
15,png,0,1,1,0,1843143,0m3.716s
2,tiff,1,0,1,1,1536648,0m1.877s
3,tiff,1,0,0,1,1536639,0m1.867s
4,tiff,0,1,0,0,1795126,0m1.942s
5,tiff,0,0,0,0,1794960,0m1.858s
6,tiff,0,0,0,1,1794991,0m1.915s
7,tiff,0,1,1,0,1794960,0m1.878s
8,png,1,1,1,1,1615749,0m3.562s
9,png,1,1,0,1,1615750,0m3.561s
