configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,15255411,0m8.246s
1,tiff,1,1,0,1,15254955,0m8.304s
10,png,1,0,1,1,15095108,0m24.946s
11,png,1,0,0,1,15095138,0m24.876s
12,png,0,1,0,0,14807345,0m31.681s
13,png,0,0,0,0,14807400,0m31.556s
14,png,0,0,0,1,14807318,0m31.669s
15,png,0,1,1,0,14807398,0m31.691s
2,tiff,1,0,1,1,15255070,0m8.271s
3,tiff,1,0,0,1,15255311,0m8.311s
4,tiff,0,1,0,0,14377038,0m8.870s
5,tiff,0,0,0,0,14377436,0m8.833s
6,tiff,0,0,0,1,14377456,0m8.773s
7,tiff,0,1,1,0,14377523,0m8.771s
8,png,1,1,1,1,15095086,0m24.811s
9,png,1,1,0,1,15095102,0m24.915s
