configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,2618072,0m1.815s
1,50%,xz,-3,1,2618064,0m1.818s
10,100%,xz,-9,1,2426816,0m2.985s
11,50%,lzma,-6,16,2426397,0m2.964s
12,75%,xz,-3,32,2618072,0m1.828s
13,50%,lzma,-3,16,2617615,0m1.810s
14,50%,lzma,-6,32,2426397,0m2.979s
15,50%,xz,-6,32,2426824,0m2.974s
16,75%,lzma,-3,16,2617615,0m1.808s
17,75%,lzma,-6,32,2426397,0m2.933s
18,100%,lzma,-6,1,2426397,0m2.937s
19,75%,lzma,-3,1,2617615,0m1.781s
2,75%,xz,-9,16,2426824,0m3.011s
20,75%,lzma,-6,1,2426397,0m2.964s
21,75%,lzma,-6,16,2426397,0m2.972s
22,100%,xz,-9,32,2426824,0m2.972s
23,100%,xz,-9,16,2426824,0m3.021s
24,50%,lzma,-9,32,2426397,0m2.983s
25,50%,lzma,-3,32,2617615,0m1.779s
26,100%,xz,-3,1,2618064,0m1.809s
27,100%,lzma,-9,16,2426397,0m2.987s
28,100%,lzma,-3,1,2617615,0m1.848s
29,50%,lzma,-6,1,2426397,0m2.926s
3,100%,xz,-6,32,2426824,0m2.953s
4,50%,lzma,-3,1,2617615,0m1.775s
5,75%,xz,-3,1,2618064,0m1.816s
6,100%,lzma,-6,16,2426397,0m2.973s
7,75%,xz,-6,32,2426824,0m2.961s
8,50%,xz,-3,32,2618072,0m1.817s
9,75%,xz,-9,32,2426824,0m3.005s
