--disable-option-checking,--disable-libtool-lock,--disable-largefile,--disable-threadsafe,--disable-tcl,--disable-readline,--disable-amalgamation,--disable-load-extension,--disable-math,--enable-shared=no,--enable-static,--enable-fast-install,--enable-releasemode,--enable-tempstore,--enable-editline,--enable-debug,--enable-all,--enable-memsys5,--enable-memsys3,--enable-fts3,--enable-fts4,--enable-fts5,--enable-json1,--enable-update-limit,--enable-geopoly,--enable-rtree,--enable-session,--enable-gcov,--with-pic,--with-gnu-ld,--with-tcl=/usr/lib64,binary-size,unit,nr-of-gadgets
false,false,false,true,true,true,true,true,true,true,false,true,true,true,false,true,false,true,true,false,false,false,false,true,true,false,false,false,true,true,true,3408824,bytes,54983
false,true,true,false,true,true,false,false,false,false,false,false,true,false,true,true,false,true,true,false,true,false,false,true,true,false,true,false,false,true,false,3620672,bytes,58155
true,true,true,false,false,false,false,true,true,true,true,true,true,false,true,false,true,false,false,false,true,false,false,true,false,true,false,true,true,true,true,10165352,bytes,79484
false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,true,true,false,false,true,false,false,false,false,false,false,true,true,false,false,false,3983904,bytes,65460
false,false,true,true,false,false,false,false,true,true,false,false,false,true,true,true,true,false,true,true,false,false,true,false,true,true,false,true,true,true,true,3982384,bytes,66416
false,true,true,true,false,true,false,true,true,false,false,false,false,true,true,true,true,true,false,false,true,false,false,false,true,false,true,true,false,true,false,3977520,bytes,65334
false,false,true,false,false,true,false,false,true,true,false,true,false,false,false,false,true,false,true,false,true,false,true,true,true,false,true,true,false,false,true,10199328,bytes,80502
false,true,true,false,false,true,true,true,true,true,false,false,false,true,true,false,true,false,false,false,false,false,true,true,false,false,false,false,true,false,false,10162608,bytes,79418
false,false,true,false,false,false,true,false,false,false,true,false,false,true,true,false,true,false,true,true,false,false,true,false,true,false,false,false,true,false,false,10213272,bytes,80474
false,true,true,true,true,false,false,false,false,false,false,false,true,false,true,false,true,true,false,false,true,false,false,true,true,false,true,true,true,true,true,10153912,bytes,79973
false,true,true,false,false,true,false,true,false,false,false,true,false,true,false,true,false,true,false,true,false,false,true,true,false,false,true,true,false,false,false,3570248,bytes,57380
false,false,false,true,true,true,false,false,true,true,false,false,false,false,true,true,false,true,true,true,false,true,true,false,true,true,false,true,true,true,false,3864256,bytes,62979
false,false,false,true,false,true,true,true,true,false,false,false,false,false,true,true,false,true,false,true,true,true,false,true,false,false,false,false,true,true,false,3814760,bytes,62631
false,false,false,true,false,false,true,false,true,false,false,true,false,true,true,true,true,true,true,true,true,false,true,true,false,false,false,true,false,false,false,3996016,bytes,65632
false,false,true,false,true,false,true,false,true,true,true,true,true,true,true,false,true,false,false,false,true,false,false,false,true,true,true,true,true,true,false,10188496,bytes,80474
false,false,true,false,false,false,true,false,true,false,true,true,false,true,false,false,true,true,true,false,false,true,true,false,true,true,false,false,false,true,true,10198496,bytes,80560
true,true,true,false,true,false,true,true,true,true,true,true,false,true,true,true,true,false,false,false,true,false,false,true,false,true,false,true,false,false,true,4035528,bytes,65425
false,false,true,true,false,false,true,false,false,true,true,false,true,true,true,false,false,false,true,true,true,false,true,false,true,true,true,false,false,false,false,9007144,bytes,70969
false,false,true,false,true,false,false,true,false,false,true,true,true,false,false,false,false,true,true,true,true,false,false,true,true,true,true,true,false,true,false,9092032,bytes,71124
true,true,true,true,false,false,false,true,false,true,false,false,true,false,false,true,false,false,true,true,false,true,true,true,true,true,false,true,true,false,false,3859304,bytes,63306
