--disable-option-checking,--disable-libtool-lock,--disable-largefile,--disable-threadsafe,--disable-tcl,--disable-readline,--disable-amalgamation,--disable-load-extension,--disable-math,--enable-shared=no,--enable-static,--enable-fast-install,--enable-releasemode,--enable-tempstore,--enable-editline,--enable-debug,--enable-all,--enable-memsys5,--enable-memsys3,--enable-fts3,--enable-fts4,--enable-fts5,--enable-json1,--enable-update-limit,--enable-geopoly,--enable-rtree,--enable-session,--enable-gcov,--with-pic,--with-gnu-ld,--with-tcl=/usr/lib64,binary-size,unit,nr-of-gadgets
true,false,true,false,true,false,true,false,false,true,false,false,true,false,false,true,true,false,true,true,false,false,true,true,true,false,false,false,true,true,true,4053200,bytes,65704
true,false,true,true,true,false,true,true,true,false,true,true,false,false,true,false,true,true,false,true,true,true,false,true,true,false,false,true,false,false,true,10097472,bytes,79333
false,false,true,false,false,false,true,false,true,true,true,false,true,true,true,false,false,false,false,true,false,false,false,false,false,true,true,false,true,true,true,8953784,bytes,70343
false,true,true,true,true,false,true,true,false,false,false,false,true,false,false,false,false,false,true,true,false,true,false,true,false,true,true,true,false,true,false,9993288,bytes,78355
true,true,true,false,true,false,true,false,false,true,true,true,true,true,false,true,true,false,false,false,true,true,true,false,false,false,false,false,false,true,true,4052352,bytes,65928
false,false,true,false,false,true,false,false,false,true,true,false,true,false,true,false,true,true,true,false,false,true,false,false,true,true,true,false,false,true,true,10224816,bytes,80023
true,true,true,false,false,true,false,false,true,true,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,true,false,true,false,4003232,bytes,64524
false,false,true,false,false,false,false,true,false,false,false,true,false,true,false,false,false,true,false,true,false,false,true,true,false,true,true,false,false,true,true,8972336,bytes,70264
true,true,true,true,true,true,false,false,true,true,false,false,false,true,true,false,true,true,false,true,true,false,false,false,false,true,true,false,true,false,false,10101096,bytes,79447
false,true,true,false,false,false,false,true,false,false,true,false,true,false,true,false,false,false,true,false,true,false,false,true,true,false,true,false,false,true,false,9082048,bytes,71154
true,true,false,true,true,true,true,false,false,false,true,true,true,true,true,false,true,true,false,true,true,true,false,true,true,false,true,true,true,false,false,10147416,bytes,79828
true,true,false,true,true,false,true,true,true,false,false,true,true,true,false,true,false,true,false,true,true,true,false,true,false,false,false,false,true,true,true,3824352,bytes,62823
true,false,true,true,true,false,true,true,true,false,false,true,true,false,false,false,true,true,true,true,true,false,false,true,false,true,true,true,false,true,false,10097472,bytes,79333
true,true,false,false,true,false,true,true,true,false,true,false,true,false,true,true,true,true,true,true,false,false,true,true,false,true,false,false,false,false,true,4044240,bytes,65732
true,true,false,false,false,true,true,false,false,true,false,true,false,false,false,true,false,true,true,true,false,true,false,true,true,true,false,true,false,true,true,3930944,bytes,64238
true,false,true,true,true,true,true,true,false,false,false,false,true,true,true,true,true,false,false,false,true,false,true,true,true,true,false,true,false,true,false,3983376,bytes,65259
true,false,true,true,true,true,false,false,true,true,false,false,false,true,false,true,false,false,true,true,true,true,true,false,false,true,true,true,true,true,false,3942800,bytes,64946
true,true,false,true,false,false,true,false,false,false,false,true,false,true,false,true,false,true,false,true,false,false,false,false,false,true,false,true,true,true,true,3397056,bytes,54505
true,false,false,false,false,false,false,false,true,true,false,false,true,false,false,true,true,true,false,false,true,true,true,true,true,false,false,true,false,false,true,4056472,bytes,65862
true,false,false,true,true,true,false,false,true,false,false,true,false,true,false,true,false,true,false,true,true,false,true,false,true,true,false,true,true,true,false,3416064,bytes,54894
false,true,true,true,false,true,true,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,true,false,false,true,false,true,true,false,false,10125552,bytes,79500
false,true,false,true,true,false,false,false,false,true,true,false,true,true,false,false,true,true,true,false,false,true,true,false,false,true,false,false,false,true,true,10136360,bytes,79800
false,true,true,false,true,true,false,false,true,false,true,false,true,true,true,false,false,false,true,false,true,true,true,false,true,true,false,true,true,false,true,9767944,bytes,77032
false,false,false,true,true,true,true,false,false,false,false,true,false,true,false,false,true,false,false,false,false,false,true,false,true,true,true,false,false,true,false,10125560,bytes,79510
true,false,false,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,false,true,true,true,false,true,false,true,false,true,true,false,false,3818232,bytes,62623
false,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,false,false,false,false,false,false,true,false,true,true,false,true,true,false,false,3408976,bytes,54912
true,false,true,true,false,true,false,true,true,false,true,false,true,true,true,false,true,false,true,true,false,true,false,false,false,false,true,false,true,true,false,10060904,bytes,78996
false,false,false,true,false,true,false,true,true,false,true,true,true,false,false,false,true,true,false,false,false,true,true,false,false,true,true,false,true,false,true,10073528,bytes,79141
true,true,false,false,true,true,true,false,true,false,false,true,true,true,false,true,true,true,false,false,true,false,true,true,true,false,false,true,false,false,false,4055064,bytes,66192
false,true,false,true,true,true,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,true,true,false,true,false,true,true,false,true,false,10092536,bytes,79054
true,true,true,false,true,false,true,true,true,false,false,false,false,true,true,true,false,false,true,true,false,true,false,false,true,false,true,true,false,false,true,4034688,bytes,65328
true,true,true,true,true,true,false,false,false,true,false,true,true,true,true,false,true,false,true,true,true,false,true,true,false,false,false,false,true,false,false,10138856,bytes,79570
true,true,true,true,true,true,true,true,true,false,false,false,true,true,true,false,false,false,true,false,false,false,false,false,false,true,true,false,true,true,false,8817032,bytes,69361
true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,false,true,false,false,true,true,false,false,false,true,true,true,true,true,true,false,10148952,bytes,79536
false,false,true,true,false,true,false,false,false,true,false,true,false,true,false,true,true,true,true,false,false,true,true,false,false,false,false,true,true,false,true,3999232,bytes,65452
false,false,true,true,true,true,true,false,false,false,true,true,true,true,true,false,true,false,true,true,true,false,true,false,true,true,false,false,false,false,true,10125552,bytes,79500
true,false,true,false,false,false,true,true,false,false,true,true,true,true,true,false,false,false,true,false,false,true,false,true,false,false,false,true,true,true,true,9666456,bytes,75908
true,true,true,true,false,true,false,true,false,false,false,true,false,true,false,false,true,true,false,true,true,true,true,true,false,false,false,true,false,false,true,10123768,bytes,79404
true,true,true,true,true,true,false,false,false,false,false,false,false,true,true,false,true,false,false,true,true,true,false,true,true,true,false,true,false,false,false,10138856,bytes,79570
true,false,true,false,true,false,false,true,true,false,true,true,false,false,true,true,true,true,true,true,true,false,true,false,false,true,false,true,true,true,true,4043392,bytes,65545
true,true,true,true,true,true,false,true,true,false,false,false,true,true,true,true,false,false,true,true,false,false,false,true,false,true,true,false,false,false,true,3491488,bytes,56414
true,true,false,true,true,false,true,true,true,true,true,true,false,true,true,false,true,false,false,false,true,false,true,false,true,false,true,true,false,true,true,10071792,bytes,79085
false,true,true,false,true,true,true,true,false,true,true,true,true,true,true,false,true,false,false,true,false,true,true,true,false,true,true,false,true,false,true,10191168,bytes,79575
true,false,true,true,true,true,false,false,false,true,true,false,false,true,false,true,false,true,true,true,true,true,false,false,false,true,false,true,true,true,false,3835656,bytes,64771
true,false,true,false,true,true,true,true,true,true,false,true,false,false,true,false,false,true,false,false,false,false,true,false,false,true,true,true,true,true,false,8927584,bytes,69867
true,true,false,true,false,true,true,false,false,true,true,false,false,true,true,false,true,true,false,true,true,false,false,true,true,false,true,true,true,true,true,10147416,bytes,79828
true,true,false,true,true,false,true,false,false,true,false,true,false,false,true,true,true,true,false,true,false,true,false,false,false,false,false,true,true,false,true,4000608,bytes,65509
false,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true,false,true,true,true,false,false,false,true,false,true,true,false,false,true,true,3521992,bytes,56795
false,false,false,false,false,true,false,true,true,true,true,false,true,false,false,true,true,false,true,true,true,true,false,false,true,true,true,false,true,false,false,4033272,bytes,65274
true,true,true,true,true,true,false,true,false,false,true,false,true,true,false,true,true,false,false,false,true,true,false,true,false,true,false,false,false,true,true,3983376,bytes,65259
true,false,true,false,false,true,false,false,false,true,true,true,true,true,true,true,true,true,false,false,false,true,false,true,false,false,true,false,true,false,true,4060536,bytes,66402
true,false,false,false,true,true,true,true,false,false,true,true,true,true,true,true,false,false,false,true,true,true,true,false,false,true,false,true,false,true,false,3879168,bytes,62692
true,false,false,false,true,true,true,true,false,true,true,true,true,false,false,true,true,true,false,false,true,false,false,false,false,false,false,false,true,false,true,4051584,bytes,65502
false,true,false,true,false,true,false,false,false,false,false,true,true,false,true,true,true,false,false,true,true,false,true,true,false,true,true,false,false,false,false,3995488,bytes,65207
false,false,false,true,true,true,true,true,true,true,false,true,true,true,false,true,false,true,true,true,true,true,false,false,false,true,true,true,false,false,false,3939344,bytes,64928
true,false,false,true,false,false,true,true,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,true,true,false,true,10071792,bytes,79085
true,true,true,false,true,true,false,false,true,true,false,true,true,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,true,false,false,8547048,bytes,67480
true,false,true,true,false,true,true,false,true,true,false,true,false,true,true,true,true,true,false,false,true,true,false,true,false,false,false,false,false,true,false,3990520,bytes,65294
false,false,true,false,false,false,false,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true,false,false,false,true,true,true,false,false,true,4042816,bytes,66066
false,true,true,true,true,false,true,true,false,false,true,false,false,true,false,false,false,true,false,false,false,true,true,false,false,false,true,true,true,true,true,9987952,bytes,78628
true,true,false,true,false,true,false,false,true,true,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,true,false,false,false,false,false,8497600,bytes,67180
true,true,true,true,true,true,false,false,true,false,false,false,false,false,false,false,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true,10101096,bytes,79447
false,false,false,false,false,false,true,false,true,true,true,true,false,true,true,true,true,true,true,false,false,true,false,false,true,true,true,false,false,true,true,4051536,bytes,65635
false,true,true,false,true,false,false,true,false,false,false,true,true,false,true,false,true,true,false,true,false,true,false,true,false,true,false,false,false,false,false,10212096,bytes,79842
true,false,false,false,true,true,false,false,false,false,true,true,true,false,true,false,true,true,false,true,false,true,true,false,true,false,false,true,true,true,false,10224768,bytes,79981
false,false,false,false,true,true,true,false,true,true,false,false,false,false,true,false,true,true,true,false,false,true,true,false,true,true,false,false,false,false,false,10196032,bytes,81048
false,false,false,true,false,true,true,false,false,false,false,true,false,false,true,false,false,true,true,true,false,true,true,false,false,false,true,true,true,false,false,10017376,bytes,78586
true,false,true,false,false,true,false,false,false,false,false,false,false,false,true,true,false,true,true,true,false,false,true,false,true,true,false,true,false,true,false,3490192,bytes,55751
false,false,false,false,true,true,true,false,false,false,true,true,true,true,true,true,false,false,true,true,true,false,true,false,true,false,false,true,false,false,true,3477376,bytes,55463
false,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,false,false,false,true,true,true,true,true,false,true,true,true,false,false,false,3941104,bytes,64808
true,false,true,true,false,false,true,true,true,true,false,false,true,true,true,false,true,false,false,false,false,false,false,true,true,true,true,false,true,false,false,10085176,bytes,79256
true,false,true,false,true,true,true,false,true,false,true,true,true,false,true,false,false,true,true,false,true,true,false,true,false,true,true,false,true,true,false,10095672,bytes,79009
false,false,false,true,false,false,false,false,false,true,true,true,true,true,true,true,true,false,false,false,true,true,true,true,false,false,false,false,true,true,false,3996864,bytes,65168
true,false,false,false,true,true,false,false,true,true,true,false,false,true,true,false,true,true,true,false,false,true,true,false,true,false,false,true,false,true,true,10196032,bytes,81048
true,true,true,true,false,true,true,false,false,true,true,false,false,false,true,true,true,false,true,true,false,false,true,true,true,false,false,false,true,false,false,3995488,bytes,65207
false,true,false,false,false,false,true,true,false,false,false,true,true,false,true,false,false,true,false,false,false,true,false,false,false,true,false,true,true,true,false,9664240,bytes,75912
true,true,false,true,true,true,true,false,false,false,true,false,true,false,true,true,true,false,false,false,false,true,false,false,true,true,true,false,true,false,true,3990544,bytes,67145
false,true,false,true,true,false,true,false,false,true,false,false,false,false,false,true,true,false,false,true,true,true,false,false,true,false,false,false,true,true,true,3991920,bytes,66621
true,false,false,true,true,false,true,true,true,true,true,false,false,false,true,false,true,true,true,true,true,false,false,true,true,false,true,false,false,false,true,10097472,bytes,79333
false,true,true,true,false,false,true,true,false,false,false,true,true,false,false,true,false,false,true,true,false,true,false,false,true,true,true,false,false,true,true,3983904,bytes,65460
false,false,false,true,true,true,false,false,true,false,false,false,false,true,true,false,false,false,true,false,true,false,true,true,false,false,false,false,false,true,false,8485048,bytes,66910
false,true,true,false,false,false,true,true,false,false,false,true,false,true,true,false,true,false,true,false,true,false,false,false,false,true,true,false,true,false,false,10180456,bytes,79515
false,true,false,true,true,true,false,true,false,true,true,false,false,false,true,false,true,false,false,false,false,true,false,true,false,false,true,false,false,true,true,10111128,bytes,79263
true,false,false,true,false,false,true,false,true,false,true,false,false,true,false,false,false,true,true,false,false,true,false,true,true,true,true,true,false,false,true,10125280,bytes,79627
false,false,true,true,true,true,true,false,true,true,false,false,false,true,true,false,false,true,true,true,true,true,true,false,false,false,true,false,false,false,true,9980504,bytes,78571
true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,false,true,true,false,8576344,bytes,67525
true,false,true,false,false,true,true,false,true,true,false,true,true,false,true,false,true,false,false,true,true,true,true,false,true,false,true,true,true,true,true,10185760,bytes,79747
true,true,false,true,false,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,false,false,false,false,true,false,10090944,bytes,79216
false,false,true,true,false,false,false,false,false,true,true,false,false,false,false,true,false,true,true,true,false,false,false,false,false,true,false,true,false,true,true,3397056,bytes,54505
false,false,false,false,true,false,true,false,false,false,true,false,false,true,false,false,false,false,false,false,true,true,false,true,false,false,true,true,true,false,true,10112816,bytes,79165
true,false,false,true,true,true,false,true,false,false,false,false,false,false,true,true,false,true,true,false,false,true,true,false,true,false,false,true,false,false,false,3861680,bytes,63029
false,false,true,false,false,false,true,false,true,true,false,false,true,true,true,true,true,true,true,true,false,false,false,false,true,false,false,true,false,true,true,4051536,bytes,65635
false,true,true,true,true,false,false,false,false,false,false,true,false,false,false,true,true,true,false,false,true,false,false,false,false,true,false,false,true,true,false,4000608,bytes,65456
false,false,false,false,true,true,false,true,false,false,true,false,true,true,true,true,true,true,false,true,false,false,true,true,false,false,false,false,true,false,true,4052440,bytes,65683
true,false,true,false,false,false,true,true,true,true,true,false,true,false,true,false,true,false,false,false,false,true,false,false,true,true,true,false,false,false,true,10151696,bytes,79464
true,false,false,true,false,false,true,true,false,true,false,true,true,true,false,true,false,false,true,true,true,false,true,false,false,true,true,true,true,true,true,3505792,bytes,56520
false,true,true,false,true,true,false,true,false,true,true,true,false,true,false,true,true,true,true,true,true,false,false,true,false,false,false,true,true,false,true,4052440,bytes,65683
false,false,true,true,false,true,false,true,true,false,false,false,false,false,true,false,false,false,true,false,false,true,true,true,false,false,false,true,false,false,true,9584504,bytes,75542
true,false,true,false,false,true,false,false,false,true,false,true,false,true,true,false,true,false,true,true,true,false,true,true,true,false,true,false,false,false,true,10228096,bytes,80106
false,true,true,true,false,false,true,true,false,false,false,true,false,true,false,false,true,true,false,true,false,true,false,true,false,false,true,false,false,false,true,10126200,bytes,79528
true,false,true,true,false,false,false,false,false,true,false,false,true,true,false,false,true,false,true,false,true,true,false,true,false,false,false,true,true,true,true,10141672,bytes,79682
true,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,true,true,false,false,true,true,true,true,true,true,false,10213128,bytes,80461
false,false,true,true,false,false,false,true,true,false,true,true,false,true,false,false,false,false,true,false,false,true,true,false,true,false,false,false,true,false,true,9698584,bytes,76654
true,true,false,true,true,true,true,false,true,true,false,true,false,true,true,false,false,false,true,true,true,true,true,false,true,true,false,true,true,true,false,9719872,bytes,76915
false,true,false,false,false,false,false,true,false,true,true,false,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,true,false,true,true,8666216,bytes,68272
false,false,true,true,false,false,false,true,false,false,true,false,false,true,true,true,false,false,true,true,true,true,false,true,true,false,false,true,false,true,true,3859304,bytes,63306
false,true,false,false,false,true,false,false,true,true,false,true,true,false,false,false,true,true,true,true,true,false,false,false,false,false,true,true,false,false,false,10196016,bytes,80317
true,true,true,false,true,false,true,true,false,false,false,false,false,true,false,true,false,true,false,false,false,false,true,true,false,true,false,false,true,false,true,3446048,bytes,54937
true,true,false,true,true,false,false,true,false,false,false,true,true,false,false,false,false,false,false,true,true,false,false,true,false,false,true,false,true,true,false,8866088,bytes,69715
true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,true,true,true,false,false,false,true,false,false,false,false,true,true,false,10240840,bytes,80084
